Index,Title_x,ID,Rating,Release Year,Duration,Cleaned_Title,Title_y,BoxOfficeMojo_Link,Title,Worldwide Gross,Domestic Gross,International Gross,Director,Cast and Crew
1957,1916. Army of Thieves,tt13024674,6.4,PG,2h 7m,Army of Thieves,1916. Army of Thieves,https://www.boxofficemojo.com/title/tt13024674/,Army of Thieves (2021),–,–,–,Matthias Schweighöfer,"Matthias Schweighöfer (Ludwig Dieter), Nathalie Emmanuel (Gwendoline Starr), Ruby O. Fee (Korina Dominguez), Stuart Martin (Brad Cage)"
1958,1917. Raw,tt4954522,6.9,2016,1h 39m,Raw,1917. Raw,https://www.boxofficemojo.com/title/tt4954522/,Raw (2016),"$3,098,251","$514,870","$2,583,381",Julia Ducournau,"Garance Marillier (Justine), Ella Rumpf (Alexia), Rabah Nait Oufella (Adrien), Laurent Lucas (Le père)"
1959,1918. Jack and Jill,tt0810913,3.3,2h 7m,1h 31m,Jack and Jill,1918. Jack and Jill,https://www.boxofficemojo.com/title/tt0810913/,Jack and Jill (2011),"$149,673,788","$74,158,157","$75,515,631",Dennis Dugan,"Adam Sandler (Jack/Jill), Katie Holmes (Erin), Al Pacino (Al Pacino), Elodie Tougne (Sofia)"
1960,1919. The House Bunny,tt0852713,5.5,PG,1h 37m,The House Bunny,1919. The House Bunny,https://www.boxofficemojo.com/title/tt0852713/,The House Bunny (2008),"$70,439,696","$48,237,389","$22,202,307",Fred Wolf,"Anna Faris (Shelley Darlingson), Colin Hanks (Oliver), Emma Stone (Natalie), Kat Dennings (Mona)"
1961,1920. The Squid and the Whale,tt0367089,7.3,2010,1h 21m,The Squid and the Whale,1920. The Squid and the Whale,https://www.boxofficemojo.com/title/tt0367089/,The Squid and the Whale (2005),"$11,098,131","$7,372,734","$3,725,397",Noah Baumbach,"Owen Kline (Frank Berkman), Jeff Daniels (Bernard Berkman), Laura Linney (Joan Berkman), Jesse Eisenberg (Walt Berkman)"
1962,1921. Goon,tt1456635,6.8,2h 4m,1h 32m,Goon,1921. Goon,https://www.boxofficemojo.com/title/tt1456635/,Goon (2011),"$6,985,158","$4,168,528","$2,816,630",Michael Dowse,"Seann William Scott (Doug Glatt), Jay Baruchel (Pat), Alison Pill (Eva), Eugene Levy (Dr. Glatt)"
1963,1922. The Princess Diaries 2: Royal Engagement,tt0368933,5.8,PG-13,1h 53m,The Princess Diaries 2: Royal Engagement,1922. The Princess Diaries 2: Royal Engagement,https://www.boxofficemojo.com/title/tt0368933/,The Princess Diaries 2: Royal Engagement (2004),"$134,734,481","$95,170,481","$39,564,000",Garry Marshall,"Anne Hathaway (Mia Thermopolis), Callum Blue (Andrew Jacoby), Julie Andrews (Queen Clarisse Renaldi), Hector Elizondo (Joe)"
1964,1923. La Vie En Rose,tt0450188,7.5,2022,2h 20m,La Vie En Rose,1923. La Vie En Rose,https://www.boxofficemojo.com/title/tt0450188/,La Vie En Rose (2007),"$87,485,236","$10,301,706","$77,183,141",Édith Piaf,"Marion Cotillard (Edith Piaf), Sylvie Testud (Mômone), Pascal Greggory (Louis Barrier), Emmanuelle Seigner (Titine)"
1965,1924. Beautiful Creatures,tt1559547,6.1,2h 17m,2h 4m,Beautiful Creatures,1924. Beautiful Creatures,https://www.boxofficemojo.com/title/tt1559547/,Beautiful Creatures (2013),"$60,052,138","$19,452,138","$40,600,000",Richard LaGravenese,"Alice Englert (Lena Duchannes), Viola Davis (Amma), Emma Thompson (Mavis Lincoln/Sarafine), Alden Ehrenreich (Ethan Wate)"
1966,1925. The Pope's Exorcist,tt13375076,6.1,R,1h 43m,The Pope's Exorcist,1925. The Pope's Exorcist,https://www.boxofficemojo.com/title/tt13375076/,The Pope's Exorcist (2023),"$76,987,621","$20,009,380","$56,978,241",Julius Avery,"Russell Crowe (Father Gabriel Amorth), Daniel Zovatto (Father Esquibel), Alexandra Essoe (Julia), Franco Nero (The Pope)"
1967,1926. To Rome with Love,tt1859650,6.3,2019,1h 52m,To Rome with Love,1926. To Rome with Love,https://www.boxofficemojo.com/title/tt1859650/,To Rome with Love (2012),"$73,258,078","$16,685,867","$56,559,014",Woody Allen,"Woody Allen (Jerry), Penélope Cruz (Anna), Jesse Eisenberg (Jack), Elliot Page (Monica)"
1968,1927. Shaolin Soccer,tt0286112,7.3,2h 3m,1h 27m,Shaolin Soccer,1927. Shaolin Soccer,https://www.boxofficemojo.com/title/tt0286112/,Shaolin Soccer (2001),"$42,776,760","$489,600","$42,287,160",Stephen Chow,"Stephen Chow (Mighty Steel Leg Sing), Wei Zhao (Mui), Yat-Fei Wong (Iron Head (First Brother)), Man-Tat Ng (Golden Leg Fung)"
1969,1928. Our Idiot Brother,tt1637706,6.4,PG-13,1h 30m,Our Idiot Brother,1928. Our Idiot Brother,https://www.boxofficemojo.com/title/tt1637706/,Our Idiot Brother (2011),"$25,804,448","$24,816,118","$988,330",Jesse Peretz,"Paul Rudd (Ned), Elizabeth Banks (Miranda), Zooey Deschanel (Natalie), Nick Sullivan (Customer)"
1970,1929. The New World,tt0402399,6.7,2011,2h 15m,The New World,1929. The New World,https://www.boxofficemojo.com/title/tt0402399/,The New World (2005),"$49,334,775","$12,712,093","$36,622,682",Terrence Malick,"Colin Farrell (Captain Smith), Q'orianka Kilcher (Pocahontas), Christopher Plummer (Captain Newport), Christian Bale (John Rolfe)"
1971,1930. Tetris,tt12758060,7.4,2h 3m,1h 58m,Tetris,1930. Tetris,https://www.boxofficemojo.com/title/tt12758060/,Tetris (2023),–,–,–,Henk Rogers,"Taron Egerton (Henk Rogers), Mara Huf (Tracy), Miles Barrow (Dennis Jackson), Rick Yune (Bank Manager)"
1972,1931. Cop Out,tt1385867,5.5,PG-13,1h 47m,Cop Out,1931. Cop Out,https://www.boxofficemojo.com/title/tt1385867/,Cop Out (2010),"$55,611,001","$44,875,481","$10,735,520",Kevin Smith,"Bruce Willis (Jimmy), Tracy Morgan (Paul), Juan Carlos Hernández (Raul), Cory Fernandez (Juan)"
1973,1932. Annabelle Comes Home,tt8350360,5.9,2020,1h 46m,Annabelle Comes Home,1932. Annabelle Comes Home,https://www.boxofficemojo.com/title/tt8350360/,Annabelle Comes Home (2019),"$231,252,591","$74,152,591","$157,100,000",Gary Dauberman,"Vera Farmiga (Lorraine Warren), Patrick Wilson (Ed Warren), Mckenna Grace (Judy Warren), Madison Iseman (Mary Ellen)"
1974,1933. This Is Where I Leave You,tt1371150,6.6,2h 4m,1h 43m,This Is Where I Leave You,1933. This Is Where I Leave You,https://www.boxofficemojo.com/title/tt1371150/,This Is Where I Leave You (2014),"$41,296,320","$34,296,320","$7,000,000",Shawn Levy,"Jason Bateman (Judd Altman), Tina Fey (Wendy Altman), Jane Fonda (Hilary Altman), Adam Driver (Phillip Altman)"
1975,1934. Paterson,tt5247022,7.3,R,1h 58m,Paterson,1934. Paterson,https://www.boxofficemojo.com/title/tt5247022/,Paterson (2016),"$9,595,362","$2,152,738","$7,442,624",Jim Jarmusch,"Adam Driver (Paterson), Golshifteh Farahani (Laura), Nellie (Marvin), Rizwan Manji (Donny)"
1976,1935. Slither,tt0439815,6.5,2008,1h 35m,Slither,1935. Slither,https://www.boxofficemojo.com/title/tt0439815/,Slither (2006),"$12,834,936","$7,802,450","$5,032,486",James Gunn,"Nathan Fillion (Bill Pardy), Elizabeth Banks (Starla Grant), Michael Rooker (Grant Grant), Don Thompson (Wally)"
1977,1936. Kate & Leopold,tt0035423,6.4,2h 4m,1h 58m,Kate & Leopold,1936. Kate & Leopold,https://www.boxofficemojo.com/title/tt0035423/,Kate & Leopold (2001),"$76,019,048","$47,121,859","$28,897,189",James Mangold,"Meg Ryan (Kate McKay), Hugh Jackman (Leopold), Liev Schreiber (Stuart Besser), Breckin Meyer (Charlie McKay)"
1978,1937. The Midnight Sky,tt10539608,5.7,R,1h 58m,The Midnight Sky,1937. The Midnight Sky,https://www.boxofficemojo.com/title/tt10539608/,The Midnight Sky (2020),"$70,018",–,"$70,018",George Clooney,"George Clooney (Augustine), Felicity Jones (Sully), David Oyelowo (Adewole), Caoilinn Springall (Iris)"
1979,1938. The Longest Ride,tt2726560,7.0,2015,2h 3m,The Longest Ride,1938. The Longest Ride,https://www.boxofficemojo.com/title/tt2726560/,The Longest Ride (2015),"$62,944,815","$37,446,117","$25,498,698",George Tillman Jr.,"Scott Eastwood (Luke Collins), Britt Robertson (Sophia Danko), Alan Alda (Ira Levinson), Jack Huston (Young Ira)"
1980,1939. Haywire,tt1506999,5.8,2h 4m,1h 33m,Haywire,1939. Haywire,https://www.boxofficemojo.com/title/tt1506999/,Haywire (2011),"$34,513,760","$18,942,396","$15,571,364",Steven Soderbergh,"Gina Carano (Mallory Kane), Ewan McGregor (Kenneth), Michael Fassbender (Paul), Michael Angarano (Scott)"
1981,1940. A Beautiful Day in the Neighborhood,tt3224458,7.2,R,1h 49m,A Beautiful Day in the Neighborhood,1940. A Beautiful Day in the Neighborhood,https://www.boxofficemojo.com/title/tt3224458/,A Beautiful Day in the Neighborhood (2019),"$67,925,733","$61,704,055","$6,221,678",Marielle Heller,"Matthew Rhys (Lloyd Vogel), Tom Hanks (Fred Rogers), Chris Cooper (Jerry Vogel), Susan Kelechi Watson (Andrea Vogel)"
1982,1941. Munna Bhai M.B.B.S.,tt0374887,8.1,2007,2h 36m,Munna Bhai M.B.B.S.,1941. Munna Bhai M.B.B.S.,https://www.boxofficemojo.com/title/tt0374887/,Munna Bhai M.B.B.S. (2003),"$3,137,716","$48,772","$3,088,944",Rajkumar Hirani,"Sanjay Dutt (Murli Prasad Sharma (Munna Bhai)), Arshad Warsi (Sarkeshwar (Circuit)), Gracy Singh (Dr. Suman Asthana (Chinki)), Boman Irani (Dr. J. C. Asthana)"
1983,1942. The Human Centipede (First Sequence),tt1467304,4.4,1h 37m,1h 32m,The Human Centipede (First Sequence),1942. The Human Centipede (First Sequence),https://www.boxofficemojo.com/title/tt1467304/,The Human Centipede (First Sequence) (2009),"$325,113","$181,467","$143,646",Tom Six,"Dieter Laser (Dr. Heiter), Winter Williams (Lindsay), Ashlynn Yennie (Jenny), Akihiro Kitamura (Katsuro)"
1984,1943. New Year's Eve,tt1598822,5.6,PG-13,1h 58m,New Year's Eve,1943. New Year's Eve,https://www.boxofficemojo.com/title/tt1598822/,New Year's Eve (2011),"$142,044,638","$54,544,638","$87,500,000",Garry Marshall,"Sarah Jessica Parker (Kim (segment ""Mother & Daughter"")), Jessica Biel (Tess Byrne (segment ""Maternity Ward"")), Ashton Kutcher (Randy (segment ""Elevator"")), Michelle Pfeiffer (Ingrid (segment ""Resolution Tour""))"
1985,1944. Analyze That,tt0289848,5.9,2008,1h 36m,Analyze That,1944. Analyze That,https://www.boxofficemojo.com/title/tt0289848/,Analyze That (2002),"$55,003,135","$32,130,627","$22,872,508",Harold Ramis,"Robert De Niro (Paul Vitti), Billy Crystal (Ben Sobel), Lisa Kudrow (Laura Sobel), Joe Viterelli (Jelly)"
1986,1945. Sorry to Bother You,tt5688932,6.9,2h 1m,1h 52m,Sorry to Bother You,1945. Sorry to Bother You,https://www.boxofficemojo.com/title/tt5688932/,Sorry to Bother You (2018),"$18,170,707","$17,493,096","$677,611",Boots Riley,"LaKeith Stanfield (Cassius Green), Tessa Thompson (Detroit), Jermaine Fowler (Salvador), Omari Hardwick (Mr. _______)"
1987,1946. My Week with Marilyn,tt1655420,6.9,PG-13,1h 39m,My Week with Marilyn,1946. My Week with Marilyn,https://www.boxofficemojo.com/title/tt1655420/,My Week with Marilyn (2011),"$35,057,696","$14,600,347","$20,457,349",Colin Clark,"Michelle Williams (Marilyn Monroe), Eddie Redmayne (Colin Clark), Kenneth Branagh (Sir Laurence Olivier), Julia Ormond (Vivien Leigh)"
1988,1947. Hide and Seek,tt0382077,5.9,2015,1h 41m,Hide and Seek,1947. Hide and Seek,https://www.boxofficemojo.com/title/tt0382077/,Hide and Seek (2005),"$127,369,981","$51,100,486","$76,269,495",John Polson,"Robert De Niro (David Callaway), Dakota Fanning (Emily Callaway), Famke Janssen (Katherine), Elisabeth Shue (Elizabeth)"
1989,1948. Enter the Void,tt1191111,7.2,2h,2h 41m,Enter the Void,1948. Enter the Void,https://www.boxofficemojo.com/title/tt1191111/,Enter the Void (2009),"$806,517","$336,467","$470,050",Gaspar Noé,"Nathaniel Brown (Oscar), Paz de la Huerta (Linda), Cyril Roy (Alex), Olly Alexander (Victor)"
1990,1949. The Tuxedo,tt0290095,5.4,R,1h 38m,The Tuxedo,1949. The Tuxedo,https://www.boxofficemojo.com/title/tt0290095/,The Tuxedo (2002),"$104,391,623","$50,547,998","$53,843,625",Kevin Donovan,"Jackie Chan (Jimmy Tong), Jennifer Love Hewitt (Del Blaine), Jason Isaacs (Clark Devlin), Debi Mazar (Steena)"
1991,1950. Office Christmas Party,tt1711525,5.9,2015,1h 45m,Office Christmas Party,1950. Office Christmas Party,https://www.boxofficemojo.com/title/tt1711525/,Office Christmas Party (2016),"$114,501,299","$54,767,494","$59,733,805",Josh Gordon,"Jason Bateman (Josh Parker), Olivia Munn (Tracey Hughes), T.J. Miller (Clay Vanstone), Jennifer Aniston (Carol Vanstone)"
1992,1951. Dope,tt3850214,7.2,1h 54m,1h 43m,Dope,1951. Dope,https://www.boxofficemojo.com/title/tt3850214/,Dope (2015),"$17,986,781","$17,506,470","$480,311",Rick Famuyiwa,"Shameik Moore (Malcolm), Tony Revolori (Jib), Kiersey Clemons (Diggy), Kimberly Elise (Lisa Hayes)"
1993,1952. Farha,tt11555492,8.0,PG-13,1h 32m,Farha,1952. Farha,https://www.boxofficemojo.com/title/tt11555492/,Farha (2021),$703,–,$703,Darin J. Sallam,"Karam Taher (Farha), Ashraf Barhom (Farha's Father), Ali Suliman (Abu Walid), Tala Gammoh (Farida)"
1994,1953. Grandma's Boy,tt0456554,6.9,2007,1h 34m,Grandma's Boy,1953. Grandma's Boy,https://www.boxofficemojo.com/title/tt0456554/,Grandma's Boy (2006),"$6,566,277","$6,090,172","$476,105",Nicholaus Goossen,"Allen Covert (Alex), Linda Cardellini (Samantha), Shirley Jones (Grace), Peter Dante (Dante)"
1995,1954. Hotel Transylvania 3: Summer Vacation,tt5220122,6.3,1h 45m,1h 37m,Hotel Transylvania 3: Summer Vacation,1954. Hotel Transylvania 3: Summer Vacation,https://www.boxofficemojo.com/title/tt5220122/,Hotel Transylvania 3: Summer Vacation (2018),"$541,504,608","$167,510,016","$373,994,592",Genndy Tartakovsky,"Adam Sandler (Dracula), Andy Samberg (Johnny), Selena Gomez (Mavis), Kevin James (Frankenstein)"
1996,1955. Spanglish,tt0371246,6.4,PG-13,2h 11m,Spanglish,1955. Spanglish,https://www.boxofficemojo.com/title/tt0371246/,Spanglish (2004),"$55,470,154","$42,726,869","$12,743,285",James L. Brooks,"Adam Sandler (John Clasky), Téa Leoni (Deborah Clasky), Paz Vega (Flor), Cloris Leachman (Evelyn)"
1997,1956. The Cat in the Hat,tt0312528,4.1,2017,1h 22m,The Cat in the Hat,1956. The Cat in the Hat,https://www.boxofficemojo.com/title/tt0312528/,The Cat in the Hat (2003),"$133,960,541","$101,149,285","$32,811,256",Bo Welch,"Mike Myers (The Cat), Spencer Breslin (Conrad), Dakota Fanning (Sally), Alec Baldwin (Quinn)"
1998,1957. Fighting with My Family,tt6513120,7.0,1h 44m,1h 48m,Fighting with My Family,1957. Fighting with My Family,https://www.boxofficemojo.com/title/tt6513120/,Fighting with My Family (2019),"$41,503,392","$22,958,886","$18,544,506",Stephen Merchant,"Dwayne Johnson (Dwayne 'The Rock' Johnson), Lena Headey (Julia Knight), Vince Vaughn (Hutch), Florence Pugh (Saraya Knight)"
1999,1958. Failure to Launch,tt0427229,5.7,R,1h 37m,Failure to Launch,1958. Failure to Launch,https://www.boxofficemojo.com/title/tt0427229/,Failure to Launch (2006),"$130,224,158","$88,715,192","$41,508,966",Tom Dey,"Matthew McConaughey (Tripp), Sarah Jessica Parker (Paula), Kathy Bates (Sue), Terry Bradshaw (Al)"
2000,1959. John Tucker Must Die,tt0455967,5.7,2016,1h 29m,John Tucker Must Die,1959. John Tucker Must Die,https://www.boxofficemojo.com/title/tt0455967/,John Tucker Must Die (2006),"$68,844,775","$41,011,711","$27,833,064",Betty Thomas,"Jesse Metcalfe (John Tucker), Ashanti (Heather), Arielle Kebbel (Carrie), Sophia Bush (Beth)"
2001,1960. The Dead Don't Die,tt8695030,5.5,2h 2m,1h 44m,The Dead Don't Die,1960. The Dead Don't Die,https://www.boxofficemojo.com/title/tt8695030/,The Dead Don't Die (2019),"$15,325,468","$6,563,605","$8,761,863",Jim Jarmusch,"Bill Murray (Chief Cliff Robertson), Adam Driver (Officer Ronnie Peterson), Tilda Swinton (Zelda Winston), Tom Waits (Hermit Bob)"
2002,1961. Shoplifters,tt8075192,7.9,PG-13,2h 1m,Shoplifters,1961. Shoplifters,https://www.boxofficemojo.com/title/tt8075192/,Shoplifters (2018),"$67,999,348","$3,313,513","$64,685,822",Hirokazu Koreeda,"Lily Franky (Osamu Shibata), Sakura Andô (Nobuyo Shibata), Kirin Kiki (Hatsue Shibata), Mayu Matsuoka (Aki Shibata)"
2003,1962. Papillon,tt5093026,7.2,2022,2h 13m,Papillon,1962. Papillon,https://www.boxofficemojo.com/title/tt5093026/,Papillon (2017),"$10,060,903","$2,335,896","$7,725,007",Michael Noer,"Charlie Hunnam (Henri Charrière ('Papillon')), Damijan Oklopdzic (Doorman), Christopher Fairbank (Jean Castili), Jason Ryan (Accountant)"
2004,1963. Horns,tt1528071,6.4,2h 28m,2h,Horns,1963. Horns,https://www.boxofficemojo.com/title/tt1528071/,Horns (2013),"$3,875,442","$173,948","$3,701,494",Alexandre Aja,"Daniel Radcliffe (Ig Perrish), Juno Temple (Merrin Williams), Max Minghella (Lee Tourneau), Joe Anderson (Terry Perrish)"
2005,1964. Happy Death Day 2U,tt8155288,6.2,R,1h 40m,Happy Death Day 2U,1964. Happy Death Day 2U,https://www.boxofficemojo.com/title/tt8155288/,Happy Death Day 2U (2019),"$64,600,152","$28,148,130","$36,452,022",Christopher Landon,"Jessica Rothe (Tree Gelbman), Israel Broussard (Carter Davis), Phi Vu (Ryan Phan), Suraj Sharma (Samar Ghosh)"
2006,1965. What's Your Number?,tt0770703,6.0,2007,1h 46m,What's Your Number?,1965. What's Your Number?,https://www.boxofficemojo.com/title/tt0770703/,What's Your Number? (2011),"$30,426,096","$14,011,084","$16,415,012",Mark Mylod,"Anna Faris (Ally Darling), Chris Evans (Colin Shea), Ari Graynor (Daisy Darling), Blythe Danner (Ava Darling)"
2007,1966. The Raven,tt1486192,6.4,1h 26m,1h 50m,The Raven,1966. The Raven,https://www.boxofficemojo.com/title/tt1486192/,The Raven (2012),"$29,699,345","$16,008,272","$13,691,073",Edgar Allan Poe,"John Cusack (Edgar Allan Poe), Alice Eve (Emily Hamilton), Luke Evans (Detective Fields), Brendan Gleeson (Capt. Charles Hamilton)"
2008,1967. World Trade Center,tt0469641,6.0,R,2h 9m,World Trade Center,1967. World Trade Center,https://www.boxofficemojo.com/title/tt0469641/,World Trade Center (2006),"$163,247,198","$70,278,893","$92,968,305",Oliver Stone,"Nicolas Cage (John McLoughlin), Michael Peña (Will Jimeno), Maria Bello (Donna McLoughlin), Maggie Gyllenhaal (Allison Jimeno)"
2009,1968. Young Adult,tt1625346,6.3,2013,1h 34m,Young Adult,1968. Young Adult,https://www.boxofficemojo.com/title/tt1625346/,Young Adult (2011),"$22,939,027","$16,311,571","$6,627,456",Jason Reitman,"Charlize Theron (Mavis Gary), Patrick Wilson (Buddy Slade), Patton Oswalt (Matt Freehauf), Elizabeth Reaser (Beth Slade)"
2010,1969. Legend of the Guardians: The Owls of Ga'Hoole,tt1219342,6.9,1h 55m,1h 37m,Legend of the Guardians: The Owls of Ga'Hoole,1969. Legend of the Guardians: The Owls of Ga'Hoole,https://www.boxofficemojo.com/title/tt1219342/,Legend of the Guardians: The Owls of Ga'Hoole (2010),"$140,073,390","$55,675,313","$84,398,077",Zack Snyder,"Jim Sturgess (Soren), Hugo Weaving (Noctus/Grimble), David Wenham (Digger), Emily Barclay (Gylfie)"
2011,1970. Mile 22,tt4560436,6.1,R,1h 34m,Mile 22,1970. Mile 22,https://www.boxofficemojo.com/title/tt4560436/,Mile 22 (2018),"$66,308,758","$36,108,758","$30,200,000",Peter Berg,"Mark Wahlberg (James Silva), Lauren Cohan (Alice Kerr), Iko Uwais (Li Noor), John Malkovich (Bishop)"
2012,1971. The Hundred-Foot Journey,tt2980648,7.3,2018,2h 2m,The Hundred-Foot Journey,1971. The Hundred-Foot Journey,https://www.boxofficemojo.com/title/tt2980648/,The Hundred-Foot Journey (2014),"$90,425,868","$54,240,821","$36,185,047",Lasse Hallström,"Helen Mirren (Madame Mallory), Om Puri (Papa), Manish Dayal (Hassan), Charlotte Le Bon (Marguerite)"
2013,1972. Barfi!,tt2082197,8.1,1h 40m,2h 31m,Barfi!,1972. Barfi!,https://www.boxofficemojo.com/title/tt2082197/,Barfi! (2012),"$4,490,134","$2,804,874","$1,685,260",Anurag Basu,"Ranbir Kapoor (Murphy/Barfi), Priyanka Chopra Jonas (Jhilmil Chatterjee), Ileana D'Cruz (Shruti Ghosh Sengupta), Amar Gupta (Actor)"
2014,1973. Zindagi Na Milegi Dobara,tt1562872,8.2,R,2h 35m,Zindagi Na Milegi Dobara,1973. Zindagi Na Milegi Dobara,https://www.boxofficemojo.com/title/tt1562872/,Zindagi Na Milegi Dobara (2011),"$5,192,743","$3,108,485","$2,084,258",Zoya Akhtar,"Hrithik Roshan (Arjun Saluja), Farhan Akhtar (Imraan Qureshi), Abhay Deol (Kabir Dewan), Katrina Kaif (Laila)"
2015,1974. Scoop,tt0457513,6.6,2012,1h 36m,Scoop,1974. Scoop,https://www.boxofficemojo.com/title/tt0457513/,Scoop (2006),"$39,220,946","$10,525,717","$28,695,229",Woody Allen,"Scarlett Johansson (Sondra Pransky), Hugh Jackman (Peter Lyman), Jim Dunk (Funeral Speaker), Robert Bathurst (Strombel's Co-Workers)"
2016,1975. The Wedding Planner,tt0209475,5.3,2h 11m,1h 43m,The Wedding Planner,1975. The Wedding Planner,https://www.boxofficemojo.com/title/tt0209475/,The Wedding Planner (2001),"$94,728,529","$60,400,856","$34,327,673",Adam Shankman,"Jennifer Lopez (Mary Fiore), Matthew McConaughey (Steve Edison), Bridgette Wilson-Sampras (Fran Donolly), Justin Chambers (Massimo)"
2017,1976. Meg 2: The Trench,tt9224104,5.0,PG-13,1h 56m,Meg 2: The Trench,1976. Meg 2: The Trench,https://www.boxofficemojo.com/title/tt9224104/,Meg 2: The Trench (2023),"$397,800,317","$82,600,317","$315,200,000",Ben Wheatley,"Jason Statham (Jonas Taylor), Jing Wu (Jiuming Zhang), Shuya Sophia Cai (Meiying), Cliff Curtis (Mac)"
2018,1977. Blockers,tt2531344,6.2,2009,1h 42m,Blockers,1977. Blockers,https://www.boxofficemojo.com/title/tt2531344/,Blockers (2018),"$94,019,120","$60,311,495","$33,707,625",Kay Cannon,"Leslie Mann (Lisa), John Cena (Mitchell), Ike Barinholtz (Hunter), Kathryn Newton (Julie)"
2019,1978. Elite Squad 2: The Enemy Within,tt1555149,8.0,2h 3m,1h 55m,Elite Squad 2: The Enemy Within,1978. Elite Squad 2: The Enemy Within,https://www.boxofficemojo.com/title/tt1555149/,Elite Squad 2: The Enemy Within (2010),"$63,618,850","$100,119","$63,518,731",José Padilha,"Wagner Moura (Roberto Nascimento), Irandhir Santos (Diogo Fraga), André Ramiro (Matias), Milhem Cortaz (Comandante Fábio)"
2020,1979. Sky Captain and the World of Tomorrow,tt0346156,6.1,R,1h 46m,Sky Captain and the World of Tomorrow,1979. Sky Captain and the World of Tomorrow,https://www.boxofficemojo.com/title/tt0346156/,Sky Captain and the World of Tomorrow (2004),"$57,947,036","$37,762,677","$20,184,359",Kerry Conran,"Gwyneth Paltrow (Polly Perkins), Jude Law (Sky Captain), Angelina Jolie (Franky), Giovanni Ribisi (Dex)"
2021,1980. Beasts of No Nation,tt1365050,7.7,2015,2h 17m,Beasts of No Nation,1980. Beasts of No Nation,https://www.boxofficemojo.com/title/tt1365050/,Beasts of No Nation (2015),"$90,777","$90,777",–,Cary Joji Fukunaga,"Abraham Attah (Agu), Emmanuel Affadzi (Dike), Ricky Adelayitar (Village Constable), Andrew Adote (Ecomod 2nd Lieutenant)"
2022,1981. Spirit: Stallion of the Cimarron,tt0166813,7.2,1h 59m,1h 23m,Spirit: Stallion of the Cimarron,1981. Spirit: Stallion of the Cimarron,https://www.boxofficemojo.com/title/tt0166813/,Spirit: Stallion of the Cimarron (2002),"$122,563,539","$73,280,117","$49,283,422",Kelly Asbury,"Matt Damon (Spirit), James Cromwell (The Colonel), Daniel Studi (Little Creek), Chopper Bernet (Sgt. Adams)"
2023,1982. Scary Stories to Tell in the Dark,tt3387520,6.2,PG-13,1h 48m,Scary Stories to Tell in the Dark,1982. Scary Stories to Tell in the Dark,https://www.boxofficemojo.com/title/tt3387520/,Scary Stories to Tell in the Dark (2019),"$104,545,505","$68,947,075","$35,598,430",André Øvredal,"Zoe Colletti (Stella Nicholls), Michael Garza (Ramon Morales), Gabriel Rush (Auggie Hilderbrandt), Austin Abrams (Tommy Milner)"
2024,1983. The Duchess,tt0864761,6.9,2010,1h 50m,The Duchess,1983. The Duchess,https://www.boxofficemojo.com/title/tt0864761/,The Duchess (2008),"$43,343,384","$13,848,978","$29,494,406",Saul Dibb,"Keira Knightley (Georgiana), Ralph Fiennes (The Duke), Dominic Cooper (Charles Grey), Charlotte Rampling (Lady Spencer)"
2025,1984. Stay,tt0371257,6.7,1h 43m,1h 39m,Stay,1984. Stay,https://www.boxofficemojo.com/title/tt0371257/,Stay (2005),"$8,483,797","$3,626,883","$4,856,914",Marc Forster,"Ewan McGregor (Sam Foster), Naomi Watts (Lila Culpepper), Ryan Gosling (Henry Letham), Kate Burton (Mrs. Letham)"
2026,1985. The Inbetweeners,tt1716772,6.7,PG-13,1h 37m,The Inbetweeners,1985. The Inbetweeners,https://www.boxofficemojo.com/title/tt1716772/,The Inbetweeners (2011),"$88,823,111","$36,000","$88,787,111",Ben Palmer,"James Buckley (Jay Cartwright), Blake Harrison (Neil Sutherland), Joe Thomas (Simon Cooper), Simon Bird (Will McKenzie)"
2027,"1986. Spring, Summer, Fall, Winter... and Spring",tt0374546,8.0,2017,1h 43m,"Spring, Summer, Fall, Winter... and Spring","1986. Spring, Summer, Fall, Winter... and Spring",https://www.boxofficemojo.com/title/tt0374546/,"Spring, Summer, Fall, Winter... and Spring (2003)","$8,842,229","$2,380,788","$6,461,441",Kim Ki-duk,"Kim Ki-duk (Adult Monk), Oh Yeong-su (Old Monk), Jong-ho Kim (Child Monk), Kim Young-min (Young Adult Monk)"
2028,1987. Five Feet Apart,tt6472976,7.2,2h 16m,1h 56m,Five Feet Apart,1987. Five Feet Apart,https://www.boxofficemojo.com/title/tt6472976/,Five Feet Apart (2019),"$92,559,910","$45,729,221","$46,830,689",Justin Baldoni,"Haley Lu Richardson (Stella), Cole Sprouse (Will), Moises Arias (Poe), Kimberly Hebert Gregory (Barb)"
2029,1988. Lady Vengeance,tt0451094,7.5,PG-13,1h 55m,Lady Vengeance,1988. Lady Vengeance,https://www.boxofficemojo.com/title/tt0451094/,Lady Vengeance (2005),"$23,835,242","$211,667","$23,622,482",Park Chan-wook,"Nam-mi Kang (Choir Member 1), Jeong-nam Choi (Choir Member 2), Hye-Sook Go (Choir Member 3), Bok-hwa Baek (Choir Member 4)"
