Index,Title_x,ID,Rating,Release Year,Duration,Cleaned_Title,Title_y,BoxOfficeMojo_Link,Title,Worldwide Gross,Domestic Gross,International Gross,Director,Cast and Crew
3077,3005. Che: Part One,tt0892255,7.1,R,2h 14m,Che: Part One,3005. Che: Part One,https://www.boxofficemojo.com/title/tt0892255/,Che: Part One (2008),"$34,209,066","$748,555","$33,460,511",Steven Soderbergh,"Julia Ormond (Lisa Howard), Benicio Del Toro (Ernesto Che Guevara), Oscar Isaac (Interpreter), Pablo Guevara (Dinner Guest #1)"
3078,3006. Seeking Justice,tt1214962,6.1,2007,1h 45m,Seeking Justice,3006. Seeking Justice,https://www.boxofficemojo.com/title/tt1214962/,Seeking Justice (2011),"$14,089,528","$411,746","$13,677,782",Roger Donaldson,"Nicolas Cage (Will Gerard), January Jones (Laura Gerard), Guy Pearce (Simon), Harold Perrineau (Jimmy)"
3079,3007. Sardar Udham,tt10280296,8.3,1h 34m,2h 44m,Sardar Udham,3007. Sardar Udham,https://www.boxofficemojo.com/title/tt10280296/,Sardar Udham (2021),–,–,–,Shoojit Sircar,"Vicky Kaushal (Udham Singh), Shaun Scott (Michael O'Dwyer), Stephen Hogan (Detective Inspector Swain), Amol Parashar (Bhagat Singh)"
3080,3008. A Wrinkle in Time,tt1620680,4.3,R,1h 49m,A Wrinkle in Time,3008. A Wrinkle in Time,https://www.boxofficemojo.com/title/tt1620680/,A Wrinkle in Time (2018),"$132,675,864","$100,478,608","$32,197,256",Ava DuVernay,"Storm Reid (Meg), Oprah Winfrey (Mrs. Which), Reese Witherspoon (Mrs. Whatsit), Mindy Kaling (Mrs. Who)"
3081,3009. Candy,tt0424880,7.2,2008,1h 48m,Candy,3009. Candy,https://www.boxofficemojo.com/title/tt0424880/,Candy (2006),"$2,105,096","$45,128","$2,059,968",Neil Armfield,"Heath Ledger (Dan), Abbie Cornish (Candy), Geoffrey Rush (Casper), Tom Budge (Schumann)"
3082,3010. Million Dollar Arm,tt1647668,7.0,1h 44m,2h 4m,Million Dollar Arm,3010. Million Dollar Arm,https://www.boxofficemojo.com/title/tt1647668/,Million Dollar Arm (2014),"$38,483,455","$36,457,627","$2,025,828",Craig Gillespie,"Jon Hamm (JB), Aasif Mandvi (Aash), Alan Arkin (Ray), Suraj Sharma (Rinku)"
3083,3011. Tolkien,tt3361792,6.8,PG-13,1h 52m,Tolkien,3011. Tolkien,https://www.boxofficemojo.com/title/tt3361792/,Tolkien (2019),"$9,090,040","$4,535,154","$4,554,886",Dome Karukoski,"Nicholas Hoult (J.R.R. Tolkien), Lily Collins (Edith Bratt), Colm Meaney (Father Francis), Derek Jacobi (Professor Wright)"
3084,3012. Chip 'n Dale: Rescue Rangers,tt3513500,6.9,2014,1h 37m,Chip 'n Dale: Rescue Rangers,3012. Chip 'n Dale: Rescue Rangers,https://www.boxofficemojo.com/title/tt3513500/,Chip 'n Dale: Rescue Rangers (2022),"$623,190",–,"$623,190",Akiva Schaffer,"Andy Samberg (Dale), John Mulaney (Chip), KiKi Layne (Ellie), Will Arnett (Sweet Pete)"
3085,3013. Countdown,tt10039344,5.4,2h 12m,1h 30m,Countdown,3013. Countdown,https://www.boxofficemojo.com/title/tt10039344/,Countdown (2019),"$48,021,766","$25,621,766","$22,400,000",Justin Dec,"Elizabeth Lail (Quinn Harris), Jordan Calloway (Matt Monroe), Talitha Eliana Bateman (Jordan Harris), Peter Facinelli (Dr. Sullivan)"
3086,3014. A Hologram for the King,tt2980210,6.1,PG-13,1h 38m,A Hologram for the King,3014. A Hologram for the King,https://www.boxofficemojo.com/title/tt2980210/,A Hologram for the King (2016),"$9,169,507","$4,212,494","$4,957,013",Tom Tykwer,"Tom Hanks (Alan), Omar Elba (Yousef), Sarita Choudhury (Zahra), Ben Whishaw (Dave)"
3087,3015. Mr. Magorium's Wonder Emporium,tt0457419,6.2,2004,1h 33m,Mr. Magorium's Wonder Emporium,3015. Mr. Magorium's Wonder Emporium,https://www.boxofficemojo.com/title/tt0457419/,Mr. Magorium's Wonder Emporium (2007),"$69,474,661","$32,061,555","$37,413,106",Zach Helm,"Natalie Portman (Molly Mahoney, The Composer), Dustin Hoffman (Mr. Edward Magorium, Avid Shoe-Wearer), Jason Bateman (Henry Weston, the Mutant), Ted Ludzik (Bellini, the Bookbuilder)"
