Title,ID,Rating,Release Year,Duration,BoxOfficeMojo_Link
3217. Stree,tt8108202,7.5,1h 36m,2h 8m,https://www.boxofficemojo.com/title/tt8108202/
3218. The Wife,tt3750872,7.2,PG-13,1h 39m,https://www.boxofficemojo.com/title/tt3750872/
3219. Old Dads,tt18394190,6.2,2010,1h 44m,https://www.boxofficemojo.com/title/tt18394190/
3220. Driven,tt0132245,4.6,1h 35m,1h 56m,https://www.boxofficemojo.com/title/tt0132245/
3221. Smallfoot,tt6182908,6.6,R,1h 36m,https://www.boxofficemojo.com/title/tt6182908/
3222. The Void,tt4255304,5.9,2009,1h 30m,https://www.boxofficemojo.com/title/tt4255304/
3223. On the Road,tt0337692,6.0,1h 47m,2h 4m,https://www.boxofficemojo.com/title/tt0337692/
"3224. McFarland, USA",tt2097298,7.4,R,2h 9m,https://www.boxofficemojo.com/title/tt2097298/
3225. The Adventures of Sharkboy and Lavagirl 3-D,tt0424774,3.8,2011,1h 33m,https://www.boxofficemojo.com/title/tt0424774/
3226. Wasabi,tt0281364,6.6,2h,1h 34m,https://www.boxofficemojo.com/title/tt0281364/
3227. They Cloned Tyrone,tt9873892,6.6,R,2h 2m,https://www.boxofficemojo.com/title/tt9873892/
3228. The Informer,tt1833116,6.6,2018,1h 53m,https://www.boxofficemojo.com/title/tt1833116/
3229. Rocky Aur Rani Kii Prem Kahaani,tt14993250,6.5,1h 57m,2h 48m,https://www.boxofficemojo.com/title/tt14993250/
3230. Saving Silverman,tt0239948,5.9,R,1h 30m,https://www.boxofficemojo.com/title/tt0239948/
3231. Pinocchio,tt4593060,5.1,2001,1h 45m,https://www.boxofficemojo.com/title/tt4593060/
3232. The Water Horse,tt0760329,6.4,2h 6m,1h 52m,https://www.boxofficemojo.com/title/tt0760329/
3233. The Taking of Deborah Logan,tt3387648,6.0,R,1h 30m,https://www.boxofficemojo.com/title/tt3387648/
3234. Cube Zero,tt0377713,5.6,2005,1h 37m,https://www.boxofficemojo.com/title/tt0377713/
3235. Love & Mercy,tt0903657,7.4,1h 44m,2h 1m,https://www.boxofficemojo.com/title/tt0903657/
3236. Friends with Kids,tt1720616,6.1,R,1h 47m,https://www.boxofficemojo.com/title/tt1720616/
3237. Priscilla,tt22041854,6.5,2008,1h 53m,https://www.boxofficemojo.com/title/tt22041854/
3238. Maps to the Stars,tt2172584,6.2,1h 41m,1h 51m,https://www.boxofficemojo.com/title/tt2172584/
3239. Camp X-Ray,tt2994190,6.9,G,1h 57m,https://www.boxofficemojo.com/title/tt2994190/
3240. The Legend of Tomiris,tt7985648,6.2,2008,2h 36m,https://www.boxofficemojo.com/title/tt7985648/
3241. Lovelace,tt1426329,6.2,1h 55m,1h 33m,https://www.boxofficemojo.com/title/tt1426329/
3242. It's a Boy Girl Thing,tt0482527,6.2,PG,1h 35m,https://www.boxofficemojo.com/title/tt0482527/
3243. Stone,tt1423995,5.4,2021,1h 45m,https://www.boxofficemojo.com/title/tt1423995/
3244. Weird: The Al Yankovic Story,tt17076046,6.9,2h 30m,1h 48m,https://www.boxofficemojo.com/title/tt17076046/
3245. Did You Hear About the Morgans?,tt1314228,4.9,R,1h 43m,https://www.boxofficemojo.com/title/tt1314228/
3246. Regression,tt3319920,5.6,2009,1h 46m,https://www.boxofficemojo.com/title/tt3319920/
"3247. Everything, Everything",tt5001718,6.3,1h 32m,1h 36m,https://www.boxofficemojo.com/title/tt5001718/
3248. Death to Smoochy,tt0266452,6.3,R,1h 49m,https://www.boxofficemojo.com/title/tt0266452/
3249. Left Behind,tt2467046,3.1,2001,1h 50m,https://www.boxofficemojo.com/title/tt2467046/
3250. Crimes of the Future,tt14549466,5.8,1h 55m,1h 47m,https://www.boxofficemojo.com/title/tt14549466/
3251. Broken Embraces,tt0913425,7.2,G,2h 7m,https://www.boxofficemojo.com/title/tt0913425/
3252. The Fifth Estate,tt1837703,6.2,2018,2h 8m,https://www.boxofficemojo.com/title/tt1837703/
3253. Bobby,tt0308055,7.0,2h 21m,1h 57m,https://www.boxofficemojo.com/title/tt0308055/
3254. The 100 Year-Old Man Who Climbed Out the Window and Disappeared,tt2113681,7.0,R,1h 54m,https://www.boxofficemojo.com/title/tt2113681/
3255. The Spanish Apartment,tt0283900,7.3,2010,2h 2m,https://www.boxofficemojo.com/title/tt0283900/
3256. Replicas,tt4154916,5.5,1h 53m,1h 47m,https://www.boxofficemojo.com/title/tt4154916/
3257. The Railway Man,tt2058107,7.1,PG,1h 56m,https://www.boxofficemojo.com/title/tt2058107/
3258. Dumb and Dumberer: When Harry Met Lloyd,tt0329028,3.5,2009,1h 25m,https://www.boxofficemojo.com/title/tt0329028/
3259. Host,tt12749596,6.5,2h 14m,57m,https://www.boxofficemojo.com/title/tt12749596/
3260. Confessions,tt1590089,7.7,PG-13,1h 46m,https://www.boxofficemojo.com/title/tt1590089/
3261. Marrowbone,tt5886440,6.7,2013,1h 50m,https://www.boxofficemojo.com/title/tt5886440/
3262. The Lizzie McGuire Movie,tt0306841,5.6,1h 44m,1h 34m,https://www.boxofficemojo.com/title/tt0306841/
3263. In the Bedroom,tt0247425,7.4,R,2h 11m,https://www.boxofficemojo.com/title/tt0247425/
3264. Evil,tt0338309,7.7,2007,1h 53m,https://www.boxofficemojo.com/title/tt0338309/
3265. The Curse of the Jade Scorpion,tt0256524,6.7,1h 33m,1h 43m,https://www.boxofficemojo.com/title/tt0256524/
3266. Dhamaka,tt13510660,6.8,R,1h 43m,https://www.boxofficemojo.com/title/tt13510660/
3267. Synchronic,tt9016974,6.2,2007,1h 42m,https://www.boxofficemojo.com/title/tt9016974/
3268. The Physician,tt2101473,7.2,1h 36m,2h 35m,https://www.boxofficemojo.com/title/tt2101473/
3269. Braven,tt5001754,5.9,PG-13,1h 34m,https://www.boxofficemojo.com/title/tt5001754/
3270. Transamerica,tt0407265,7.3,2022,1h 43m,https://www.boxofficemojo.com/title/tt0407265/
3271. High Life,tt4827558,5.7,1h 54m,1h 53m,https://www.boxofficemojo.com/title/tt4827558/
3272. Coco Before Chanel,tt1035736,6.6,R,1h 45m,https://www.boxofficemojo.com/title/tt1035736/
3273. Nowhere,tt15789472,6.3,2017,1h 49m,https://www.boxofficemojo.com/title/tt15789472/
3274. Fair Play,tt16304446,6.4,1h 58m,1h 53m,https://www.boxofficemojo.com/title/tt16304446/
3275. The Ant Bully,tt0429589,5.8,PG-13,1h 28m,https://www.boxofficemojo.com/title/tt0429589/
3276. The To Do List,tt1758795,5.8,2011,1h 44m,https://www.boxofficemojo.com/title/tt1758795/
3277. ARQ,tt5640450,6.3,2h 26m,1h 28m,https://www.boxofficemojo.com/title/tt5640450/
3278. Black Sheep,tt0779982,5.8,PG-13,1h 27m,https://www.boxofficemojo.com/title/tt0779982/
3279. Hot Tub Time Machine 2,tt2637294,5.0,2020,1h 33m,https://www.boxofficemojo.com/title/tt2637294/
3280. Anonymous,tt1521197,6.8,1h 39m,2h 10m,https://www.boxofficemojo.com/title/tt1521197/
3281. Prime,tt0387514,6.2,PG,1h 45m,https://www.boxofficemojo.com/title/tt0387514/
3282. The Last Kiss,tt0434139,6.4,2021,1h 44m,https://www.boxofficemojo.com/title/tt0434139/
3283. Mean Machine,tt0291341,6.4,2h 23m,1h 39m,https://www.boxofficemojo.com/title/tt0291341/
3284. Antim: The Final Truth,tt13491110,6.2,PG-13,2h 18m,https://www.boxofficemojo.com/title/tt13491110/
3285. Spread,tt1186370,5.8,2017,1h 37m,https://www.boxofficemojo.com/title/tt1186370/
3286. The Cave,tt0402901,5.2,1h 44m,1h 37m,https://www.boxofficemojo.com/title/tt0402901/
3287. The Prince and Me,tt0337697,5.9,R,1h 51m,https://www.boxofficemojo.com/title/tt0337697/
3288. Freaks,tt8781414,6.7,2001,1h 45m,https://www.boxofficemojo.com/title/tt8781414/
3289. No Sudden Move,tt11525644,6.4,2h 2m,1h 55m,https://www.boxofficemojo.com/title/tt11525644/
3290. Race,tt3499096,7.1,R,2h 14m,https://www.boxofficemojo.com/title/tt3499096/
3291. Eli,tt5294518,5.8,2016,1h 38m,https://www.boxofficemojo.com/title/tt5294518/
3292. The Three Burials of Melquiades Estrada,tt0419294,7.3,2h 24m,2h 1m,https://www.boxofficemojo.com/title/tt0419294/
3293. Basic Instinct 2,tt0430912,4.4,R,1h 54m,https://www.boxofficemojo.com/title/tt0430912/
3294. Me Time,tt14309446,5.1,2014,1h 41m,https://www.boxofficemojo.com/title/tt14309446/
3295. In a Better World,tt1340107,7.6,1h 38m,1h 58m,https://www.boxofficemojo.com/title/tt1340107/
3296. 777 Charlie,tt7466810,8.7,PG-13,2h 44m,https://www.boxofficemojo.com/title/tt7466810/
3297. Paul Blart: Mall Cop 2,tt3450650,4.4,2018,1h 34m,https://www.boxofficemojo.com/title/tt3450650/
3298. Kabir Singh,tt8983202,7.0,2h 12m,2h 53m,https://www.boxofficemojo.com/title/tt8983202/
3299. Drishyam 2,tt12361178,8.4,R,2h 32m,https://www.boxofficemojo.com/title/tt12361178/
3300. Overboard,tt1563742,6.0,2005,1h 52m,https://www.boxofficemojo.com/title/tt1563742/
3301. The Roommate,tt1265990,4.8,1h 31m,1h 31m,https://www.boxofficemojo.com/title/tt1265990/
3302. The Joneses,tt1285309,6.4,PG,1h 36m,https://www.boxofficemojo.com/title/tt1285309/
3303. Birth,tt0337876,6.3,2013,1h 40m,https://www.boxofficemojo.com/title/tt0337876/
3304. Happy New Year,tt2461132,5.0,3h,3h,https://www.boxofficemojo.com/title/tt2461132/
3305. Kill Your Darlings,tt1311071,6.4,NC-17,1h 44m,https://www.boxofficemojo.com/title/tt1311071/
3306. Incident in a Ghostland,tt6195094,6.4,2022,1h 31m,https://www.boxofficemojo.com/title/tt6195094/
3307. The Empty Man,tt5867314,6.2,1h 52m,2h 17m,https://www.boxofficemojo.com/title/tt5867314/
3308. Malcolm & Marie,tt12676326,6.6,PG-13,1h 46m,https://www.boxofficemojo.com/title/tt12676326/
3309. Hotel Transylvania 4: Transformania,tt9848626,6.0,2016,1h 27m,https://www.boxofficemojo.com/title/tt9848626/
3310. Ron's Gone Wrong,tt7504818,7.1,2h 14m,1h 47m,https://www.boxofficemojo.com/title/tt7504818/
3311. Arthur and the Invisibles,tt0344854,6.0,R,1h 34m,https://www.boxofficemojo.com/title/tt0344854/
3312. After.Life,tt0838247,5.9,2013,1h 44m,https://www.boxofficemojo.com/title/tt0838247/
3313. Don,tt0461936,7.1,1h 44m,2h 51m,https://www.boxofficemojo.com/title/tt0461936/
3314. May,tt0303361,6.6,R,1h 33m,https://www.boxofficemojo.com/title/tt0303361/
3315. The Believer,tt0247199,7.1,2014,1h 38m,https://www.boxofficemojo.com/title/tt0247199/
3316. Spider,tt0278731,6.7,1h 43m,1h 38m,https://www.boxofficemojo.com/title/tt0278731/
3317. Splinter,tt1031280,6.1,R,1h 22m,https://www.boxofficemojo.com/title/tt1031280/
3318. Haunt,tt6535880,6.3,2007,1h 32m,https://www.boxofficemojo.com/title/tt6535880/
3319. The Art of Self-Defense,tt7339248,6.6,1h 45m,1h 44m,https://www.boxofficemojo.com/title/tt7339248/
3320. The Hunter,tt1703148,6.7,R,1h 40m,https://www.boxofficemojo.com/title/tt1703148/
3321. Sierra Burgess Is a Loser,tt3120280,5.8,2011,1h 45m,https://www.boxofficemojo.com/title/tt3120280/
3322. The Messengers,tt0425430,5.3,1h 59m,1h 30m,https://www.boxofficemojo.com/title/tt0425430/
3323. Honey Boy,tt8151874,7.2,PG-13,1h 34m,https://www.boxofficemojo.com/title/tt8151874/
3324. Your Place or Mine,tt12823454,5.7,2023,1h 49m,https://www.boxofficemojo.com/title/tt12823454/
3325. Black Sea,tt2261331,6.4,1h 56m,1h 54m,https://www.boxofficemojo.com/title/tt2261331/
3326. Hearts in Atlantis,tt0252501,6.9,PG,1h 41m,https://www.boxofficemojo.com/title/tt0252501/
3327. Late Night,tt6107548,6.5,2015,1h 42m,https://www.boxofficemojo.com/title/tt6107548/
3328. Mustang,tt3966404,7.6,1h 45m,1h 37m,https://www.boxofficemojo.com/title/tt3966404/
