Title,Title,ID,Rating,Release Year,Duration,BoxOfficeMojo_Link,Worldwide Gross,Domestic Gross,International Gross,Director,Cast and Crew
Shadow in the Cloud,Shadow in the Cloud (2020),tt9691136,5.0,2020,1h 23m,https://www.boxofficemojo.com/title/tt9691136/,"$1,054,290","$156,932","$897,358",Roseanne Liang,"Chloë Grace Moretz (Maude Garrett), Nick Robinson (Stu Beckell), Beulah Koale (Anton Williams), Taylor John Smith (Walter Quaid)"
Cypher,Cypher (2002),tt0284978,6.7,2002,1h 35m,https://www.boxofficemojo.com/title/tt0284978/,"$898,365",–,"$898,365",Vincenzo Natali,"Jeremy Northam (Morgan Sullivan), Lucy Liu (Rita Foster), Nigel Bennett (Finster), Timothy Webber (Callaway)"
The Salton Sea,The Salton Sea (2002),tt0235737,7.0,2002,1h 43m,https://www.boxofficemojo.com/title/tt0235737/,"$1,073,198","$764,554","$308,644",D.J. Caruso,"Val Kilmer (Danny Parker/Tom Van Allen), Vincent D'Onofrio (Pooh-Bear), Adam Goldberg (Kujo), Luis Guzmán (Quincy)"
The Machine,The Machine (2013),tt2317225,6.0,2013,1h 31m,https://www.boxofficemojo.com/title/tt2317225/,"$205,715",–,"$205,715",Caradog W. James,"Toby Stephens (Vincent McCarthy), Caity Lotz (Ava/The Machine), Denis Lawson (Thomson), Sam Hazeldine (James)"
Winnie-the-Pooh: Blood and Honey,Winnie-the-Pooh: Blood and Honey (2023),tt19623240,2.9,2023,1h 24m,https://www.boxofficemojo.com/title/tt19623240/,"$7,717,044","$2,082,898","$5,634,146",Rhys Frake-Waterfield,"Nikolai Leon (Christopher Robin), Maria Taylor (Maria), Natasha Rose Mills (Jessica), Amber Doig-Thorne (Alice)"
Mrs. Harris Goes to Paris,Mrs. Harris Goes to Paris (2022),tt5151570,7.1,2022,1h 55m,https://www.boxofficemojo.com/title/tt5151570/,"$31,182,637","$10,433,915","$20,748,722",Anthony Fabian,"Lesley Manville (Ada Harris), Isabelle Huppert (Claudine Colbert), Lambert Wilson (Marquis de Chassagne), Alba Baptista (Natasha)"
Ong Bak 2,Ong Bak 2 (2008),tt0785035,6.2,2008,1h 38m,https://www.boxofficemojo.com/title/tt0785035/,"$8,936,663","$102,458","$8,834,205",Tony Jaa,"Tony Jaa (Tien), Sarunyu Wongkrachang (Rajasena Lord), Sorapong Chatree (Chernung), Primrata Dej-Udom (Pim)"
Goya's Ghosts,Goya's Ghosts (2006),tt0455957,6.9,2006,1h 53m,https://www.boxofficemojo.com/title/tt0455957/,"$9,448,082","$1,000,626","$8,447,456",Milos Forman,"Javier Bardem (Lorenzo), Natalie Portman (Inés/Alicia), Stellan Skarsgård (Francisco Goya), Randy Quaid (King Carlos IV)"
Spring,Spring (2014),tt3395184,6.7,2014,1h 49m,https://www.boxofficemojo.com/title/tt3395184/,"$49,970","$49,970",–,Justin Benson,"Lou Taylor Pucci (Evan), Nadia Hilker (Louise), Francesco Carnelutti (Angelo), Nick Nevern (Thomas)"
"Tomorrow, When the War Began","Tomorrow, When the War Began (2010)",tt1456941,6.1,2010,1h 44m,https://www.boxofficemojo.com/title/tt1456941/,"$16,533,595","$4,936","$16,528,659",Stuart Beattie,"Caitlin Stasey (Ellie Linton), Rachel Hurd-Wood (Corrie Mackenzie), Lincoln Lewis (Kevin Holmes), Deniz Akdeniz (Homer Yannos)"
Two Days in Paris,Two Days in Paris (2007),tt0841044,6.7,2007,1h 36m,https://www.boxofficemojo.com/title/tt0841044/,"$19,776,159","$4,433,994","$15,342,165",Julie Delpy,"Julie Delpy (Marion), Adam Goldberg (Jack), Daniel Brühl (Lukas), Marie Pillet (Anna - Marion's Mother)"
Paranoid Park,Paranoid Park (2007),tt0842929,6.6,2007,1h 25m,https://www.boxofficemojo.com/title/tt0842929/,"$4,545,747","$486,767","$4,058,980",Gus Van Sant,"Gabe Nevins (Alex), Daniel Liu (Detective Richard Lu), Taylor Momsen (Jennifer), Jake Miller (Jared)"
In Your Eyes,In Your Eyes (2014),tt2101569,6.9,2014,1h 46m,https://www.boxofficemojo.com/title/tt2101569/,–,–,–,Brin Hill,"Michael Stahl-David (Dylan Kershaw), Zoe Kazan (Rebecca Porter), Mark Feuerstein (Phillip Porter), David Gallagher (Lyle Soames)"
Jexi,Jexi (2019),tt9354944,6.1,2019,1h 24m,https://www.boxofficemojo.com/title/tt9354944/,"$9,341,824","$6,546,159","$2,795,665",Jon Lucas,"Adam Devine (Phil), Alexandra Shipp (Cate), Rose Byrne (Jexi), Ron Funches (Craig)"
Lake Mungo,Lake Mungo (2008),tt0816556,6.3,2008,1h 27m,https://www.boxofficemojo.com/title/tt0816556/,"$10,853",–,"$8,128",Joel Anderson,"Rosie Traynor (June Palmer), David Pledger (Russell Palmer), Martin Sharpe (Mathew Palmer), Talia Zucker (Alice Palmer)"
Armored,Armored (2009),tt0913354,5.7,2009,1h 28m,https://www.boxofficemojo.com/title/tt0913354/,"$22,942,221","$15,988,876","$6,953,345",Nimród Antal,"Columbus Short (Ty Hackett), Matt Dillon (Mike Cochrane), Laurence Fishburne (Baines), Jean Reno (Quinn)"
Stretch,Stretch (2014),tt2494280,6.5,2014,1h 34m,https://www.boxofficemojo.com/title/tt2494280/,"$4,833",–,"$4,833",Joe Carnahan,"Patrick Wilson (Stretch), Ed Helms (Karl w/a K), James Badge Dale (Laurent/Linares), Brooklyn Decker (Candace)"
Tracks,Tracks (2013),tt2167266,7.1,2013,1h 52m,https://www.boxofficemojo.com/title/tt2167266/,"$5,853,509","$510,007","$5,343,502",John Curran,"Mia Wasikowska (Robyn), Adam Driver (Rick), Lily Pearl (Young Robyn), Philip Dodd (Publican)"
Last Seen Alive,Last Seen Alive (2022),tt10242388,5.7,2022,1h 35m,https://www.boxofficemojo.com/title/tt10242388/,"$5,950,199",–,"$5,950,199",Brian Goodman,"Gerard Butler (Will Spann), Jaimie Alexander (Lisa Spann), Russell Hornsby (Detective Paterson), Ethan Embry (Knuckles)"
Big Nothing,Big Nothing (2006),tt0488085,6.7,2006,1h 26m,https://www.boxofficemojo.com/title/tt0488085/,"$662,081",–,"$662,081",Jean-Baptiste Andrea,"David Schwimmer (Charlie), Simon Pegg (Gus), Alice Eve (Josie), Jon Polito (Agent Hymes)"
Wildlife,Wildlife (2018),tt5929754,6.8,2018,1h 45m,https://www.boxofficemojo.com/title/tt5929754/,"$3,321,367","$1,050,616","$2,270,751",Paul Dano,"Ed Oxenbould (Joe Brinson), Jake Gyllenhaal (Jerry Brinson), Carey Mulligan (Jeanette Brinson), Travis W Bruyer (Forester)"
Son of Batman,Son of Batman (2014),tt3139072,6.7,2014,1h 14m,https://www.boxofficemojo.com/title/tt3139072/,–,–,–,Ethan Spaulding,"Jason O'Mara (Batman/Bruce Wayne), Stuart Allan (Damian), Thomas Gibson (Deathstroke), Morena Baccarin (Talia)"
Mr. Church,Mr. Church (2016),tt4196848,7.6,2016,1h 44m,https://www.boxofficemojo.com/title/tt4196848/,"$685,780","$685,780",–,Bruce Beresford,"Eddie Murphy (Henry Church), Britt Robertson (Charlie), Natascha McElhone (Marie), Xavier Samuel (Owen)"
Harriet,Harriet (2019),tt4648786,6.7,2019,2h 5m,https://www.boxofficemojo.com/title/tt4648786/,"$43,347,017","$43,082,155","$264,862",Harriet Tubman,"Cynthia Erivo (Harriet/Minty), Janelle Monáe (Marie Buchanon), Leslie Odom Jr. (William Still), Joe Alwyn (Gideon Brodess)"
Confessions of a Teenage Drama Queen,Confessions of a Teenage Drama Queen (2004),tt0361467,4.7,2004,1h 29m,https://www.boxofficemojo.com/title/tt0361467/,"$33,251,890","$29,331,068","$3,920,822",Sara Sugarman,"Lindsay Lohan (Lola), Megan Fox (Carla), Adam Garcia (Stu), Glenne Headly (Karen)"
Palo Alto,Palo Alto (2013),tt2479800,6.2,2013,1h 40m,https://www.boxofficemojo.com/title/tt2479800/,"$919,591","$767,732","$151,859",Gia Coppola,"Emma Roberts (April), James Franco (Mr. B), Jack Kilmer (Teddy), Zoe Levin (Emily)"
Club Dread,Club Dread (2004),tt0331953,5.7,2004,1h 44m,https://www.boxofficemojo.com/title/tt0331953/,"$7,565,807","$5,001,708","$2,564,099",Jay Chandrasekhar,"Jay Chandrasekhar (Putman), Bill Paxton (Coconut Pete), Kevin Heffernan (Lars), Elena Lyons (Stacy)"
Tale of Tales,Tale of Tales (2015),tt3278330,6.4,2015,2h 14m,https://www.boxofficemojo.com/title/tt3278330/,"$5,500,277","$118,925","$5,381,352",Matteo Garrone,"Salma Hayek (Queen of Longtrellis), Vincent Cassel (King of Strongcliff), Toby Jones (King of Highhills), John C. Reilly (King of Longtrellis)"
The Weekend Away,The Weekend Away (2022),tt14817272,5.7,2022,1h 29m,https://www.boxofficemojo.com/title/tt14817272/,–,–,–,Kim Farrant,"Leighton Meester (Beth), Christina Wolfe (Kate), Ziad Bakri (Zain), Luke Norris (Rob)"
One Cut of the Dead,One Cut of the Dead (2017),tt7914416,7.6,2017,1h 36m,https://www.boxofficemojo.com/title/tt7914416/,"$27,590,180","$52,406","$27,537,774",Shin'ichirô Ueda,"Takayuki Hamatsu (Director Higurashi), Yuzuki Akiyama (Chinatsu), Harumi Shuhama (Nao), Kazuaki Nagaya (Ko)"
Tsotsi,Tsotsi (2005),tt0468565,7.2,2005,1h 34m,https://www.boxofficemojo.com/title/tt0468565/,"$9,891,303","$2,912,606","$6,978,697",Gavin Hood,"Presley Chweneyagae (Tsotsi), Mothusi Magano (Boston), Israel Matseke-Zulu (Mandla, Tsotsi's Father), Terry Pheto (Miriam)"
Open Grave,Open Grave (2013),tt2071550,6.2,2013,1h 42m,https://www.boxofficemojo.com/title/tt2071550/,"$489,812",–,"$489,812",Gonzalo López-Gallego,"Sharlto Copley (John/Jonah), Thomas Kretschmann (Lukas), Josie Ho (Brown Eyes), Joseph Morgan (Nathan)"
Superbabies: Baby Geniuses 2,Superbabies: Baby Geniuses 2 (2004),tt0270846,1.5,2004,1h 28m,https://www.boxofficemojo.com/title/tt0270846/,"$9,448,644","$9,219,388","$229,256",Bob Clark,"Jon Voight (Bill Biscane/Kane), Scott Baio (Stan Bobbins), Vanessa Angel (Jean Bobbins), Skyler Shaye (Kylie)"
47 Meters Down: Uncaged,47 Meters Down: Uncaged (2019),tt7329656,5.0,2019,1h 30m,https://www.boxofficemojo.com/title/tt7329656/,"$47,582,563","$22,260,900","$25,321,663",Johannes Roberts,"Sophie Nélisse (Mia), Corinne Foxx (Sasha), Brianne Tju (Alexa), Sistine Rose Stallone (Nicole)"
Badla,Badla (2019),tt8130968,7.7,2019,1h 58m,https://www.boxofficemojo.com/title/tt8130968/,"$18,502,646","$1,861,000","$16,641,646",Sujoy Ghosh,"Amitabh Bachchan (Badal Gupta), Taapsee Pannu (Naina Sethi), Antonio Aakeel (Sunny Singh Toor), Manav Kaul (Jimmy Punjabi)"
Alone,Alone (2020),tt7711170,6.2,2020,1h 38m,https://www.boxofficemojo.com/title/tt7711170/,"$642,502","$537,589","$104,913",John Hyams,"Jules Willcox (Jessica), Marc Menchaca (Man), Anthony Heald (Robert), Jonathan Rosenthal (Eric)"
Nefarious,Nefarious (2023),tt14537248,6.4,2023,1h 37m,https://www.boxofficemojo.com/title/tt14537248/,"$5,983,819","$5,433,685","$550,134",Chuck Konzelman,"Sean Patrick Flanery (Nefarious/Edward Wayne Brady), Jordan Belfi (Dr. James Martin), Tom Ohmer (Warden Tom Moss), Glenn Beck (Glenn Beck)"
I Killed My Mother,I Killed My Mother (2009),tt1424797,7.4,2009,1h 36m,https://www.boxofficemojo.com/title/tt1424797/,–,–,–,Xavier Dolan,"Anne Dorval (Chantale Lemming), Xavier Dolan (Hubert Minel), François Arnaud (Antonin Rimbaud), Suzanne Clément (Julie Cloutier)"
Never Rarely Sometimes Always,Never Rarely Sometimes Always (2020),tt7772582,7.4,2020,1h 41m,https://www.boxofficemojo.com/title/tt7772582/,"$299,588","$16,565","$283,023",Eliza Hittman,"Sidney Flanigan (Autumn), Talia Ryder (Skylar), Théodore Pellerin (Jasper), Eliazar Jimenez (Elvis Impersonator)"
The Current War,The Current War (2017),tt2140507,6.5,2017,1h 42m,https://www.boxofficemojo.com/title/tt2140507/,"$12,217,160","$5,979,540","$6,237,620",Thomas A. Edison,"Benedict Cumberbatch (Thomas Alva Edison), Oliver Powell (Leo), Sophia Ally (Dot (Younger)), Tuppence Middleton (Mary Edison)"
Clouds of Sils Maria,Clouds of Sils Maria (2014),tt2452254,6.7,2014,2h 4m,https://www.boxofficemojo.com/title/tt2452254/,"$4,728,401","$1,851,517","$2,876,884",Olivier Assayas,"Juliette Binoche (Maria Enders), Kristen Stewart (Valentine), Chloë Grace Moretz (Jo-Ann Ellis), Lars Eidinger (Klaus Diesterweg)"
The Tailor of Panama,The Tailor of Panama (2001),tt0236784,6.1,2001,1h 49m,https://www.boxofficemojo.com/title/tt0236784/,"$28,008,462","$13,729,742","$14,278,720",John Boorman,"Pierce Brosnan (Osnard), Geoffrey Rush (Harry), Jamie Lee Curtis (Louisa), Leonor Varela (Marta)"
Shehzada,Shehzada (2023),tt13130948,4.5,2023,2h 22m,https://www.boxofficemojo.com/title/tt13130948/,"$511,376",–,"$511,376",Rohit Dhawan,"Kartik Aaryan (Bantu), Kriti Sanon (Samara), Paresh Rawal (Valmiki), Manisha Koirala (Yashoda Jindal Nanda)"
Bleed for This,Bleed for This (2016),tt1620935,6.8,2016,1h 57m,https://www.boxofficemojo.com/title/tt1620935/,"$6,698,679","$5,083,906","$1,614,773",Vinny Pazienza,"Miles Teller (Vinny), Aaron Eckhart (Kevin Rooney), Katey Sagal (Louise), Ciarán Hinds (Angelo)"
"Don't Worry, He Won't Get Far on Foot","Don't Worry, He Won't Get Far on Foot (2018)",tt6288124,6.8,2018,1h 54m,https://www.boxofficemojo.com/title/tt6288124/,"$4,241,656","$1,441,705","$2,799,951",Gus Van Sant,"Joaquin Phoenix (John Callahan), Jonah Hill (Donny), Rooney Mara (Annu), Jack Black (Dexter)"
Wonder Wheel,Wonder Wheel (2017),tt5825380,6.2,2017,1h 41m,https://www.boxofficemojo.com/title/tt5825380/,"$15,889,124","$1,404,061","$14,485,063",Woody Allen,"Justin Timberlake (Mickey), Juno Temple (Carolina), Robert C. Kirk (Boardwalk Vendor), Kate Winslet (Ginny)"
Bacurau,Bacurau (2019),tt2762506,7.3,2019,2h 11m,https://www.boxofficemojo.com/title/tt2762506/,"$3,554,178","$58,115","$3,496,063",Juliano Dornelles,"Bárbara Colen (Teresa), Thomás Aquino (Pacote/Acácio), Silvero Pereira (Lunga), Thardelly Lima (Tony Jr.)"
Playing for Keeps,Playing for Keeps (2012),tt1540128,5.7,2012,1h 45m,https://www.boxofficemojo.com/title/tt1540128/,"$30,962,335","$13,103,272","$17,859,063",Gabriele Muccino,"Gerard Butler (George), Jessica Biel (Stacie), Dennis Quaid (Carl), Noah Lomax (Lewis)"
Mesrine: Public Enemy No. 1,Mesrine: Public Enemy No. 1 (2008),tt0411272,7.4,2008,2h 13m,https://www.boxofficemojo.com/title/tt0411272/,"$321,353","$275,387","$45,966",Jacques Mesrine,"Vincent Cassel (Jacques Mesrine), Ludivine Sagnier (Sylvia Jeanjacquot), Mathieu Amalric (François Besse), Samuel Le Bihan (Michel Ardouin)"
Cult of Chucky,Cult of Chucky (2017),tt3280262,5.3,2017,1h 31m,https://www.boxofficemojo.com/title/tt3280262/,–,–,–,Don Mancini,"Allison Dawn Doiron (Rachel), Alex Vincent (Andy), Brad Dourif (Chucky), Fiona Dourif (Nica)"
Table 19,Table 19 (2017),tt1412528,5.8,2017,1h 27m,https://www.boxofficemojo.com/title/tt1412528/,"$5,042,014","$3,614,896","$1,427,118",Jeffrey Blitz,"Anna Kendrick (Eloise McGarry), Lisa Kudrow (Bina Kepp), Craig Robinson (Jerry Kepp), Stephen Merchant (Walter Thimble)"
One Night at McCool's,One Night at McCool's (2001),tt0203755,6.2,2001,1h 33m,https://www.boxofficemojo.com/title/tt0203755/,"$13,578,186","$6,290,673","$7,287,513",Harald Zwart,"Liv Tyler (Jewel), Matt Dillon (Randy), Mary Jo Smith (Bingo Caller), Michael Douglas (Mr. Burmeister)"
Paranormal Activity: The Ghost Dimension,Paranormal Activity: The Ghost Dimension (2015),tt2473510,4.6,2015,1h 28m,https://www.boxofficemojo.com/title/tt2473510/,"$78,903,124","$18,300,124","$60,603,000",Gregory Plotkin,"Chris J. Murray (Ryan), Brit Shaw (Emily), Ivy George (Leila), Dan Gill (Mike)"
"Are You There God? It's Me, Margaret.","Are You There God? It's Me, Margaret. (2023)",tt9185206,7.3,2023,1h 46m,https://www.boxofficemojo.com/title/tt9185206/,"$21,464,043","$20,372,406","$1,091,637",Kelly Fremon Craig,"Abby Ryder Fortson (Margaret Simon), Rachel McAdams (Barbara Simon), Kathy Bates (Sylvia Simon), Benny Safdie (Herb Simon)"
Micmacs,Micmacs (2009),tt1149361,7.1,2009,1h 45m,https://www.boxofficemojo.com/title/tt1149361/,"$16,979,882","$1,262,079","$15,717,803",Jean-Pierre Jeunet,"Dany Boon (Bazil), André Dussollier (Nicolas Thibault de Fenouillet), Nicolas Marié (François Marconi), Yolande Moreau (Tambouille)"
Black Christmas,Black Christmas (2006),tt0454082,4.7,2006,1h 35m,https://www.boxofficemojo.com/title/tt0454082/,"$21,510,851","$16,273,581","$5,237,270",Glen Morgan,"Michelle Trachtenberg (Melissa), Mary Elizabeth Winstead (Heather Fitzgerald), Lacey Chabert (Dana), Katie Cassidy (Kelli Presley)"
Relic,Relic (2020),tt9072352,6.0,2020,1h 29m,https://www.boxofficemojo.com/title/tt9072352/,"$2,902,552","$1,047,083","$1,855,469",Natalie Erika James,"Robyn Nevin (Edna), Emily Mortimer (Kay), Bella Heathcote (Sam), Steve Rodgers (Constable Mike Adler)"
Yes Day,Yes Day (2021),tt8521876,5.7,2021,1h 26m,https://www.boxofficemojo.com/title/tt8521876/,–,–,–,Miguel Arteta,"Jennifer Garner (Allison Torres), Edgar Ramírez (Carlos Torres), Jenna Ortega (Katie Torres), Julian Lerner (Nando Torres)"
The Wackness,The Wackness (2008),tt1082886,6.9,2008,1h 39m,https://www.boxofficemojo.com/title/tt1082886/,"$3,175,469","$2,077,116","$1,098,353",Jonathan Levine,"Josh Peck (Luke Shapiro), Ben Kingsley (Dr. Squires), Olivia Thirlby (Stephanie), Famke Janssen (Mrs. Squires)"
Taxi 4,Taxi 4 (2007),tt0804540,5.6,2007,1h 31m,https://www.boxofficemojo.com/title/tt0804540/,"$65,125,001",–,"$65,125,001",Gérard Krawczyk,"Samy Naceri (Daniel Morales), Frédéric Diefenthal (Émilien Coutant-Kerbalec), Bernard Farcy (Commissaire Gibert), Emma Wiklund (Petra)"
Risen,Risen (2016),tt3231054,6.3,2016,1h 47m,https://www.boxofficemojo.com/title/tt3231054/,"$46,771,565","$36,880,033","$9,891,532",Jesus Christ,"Joseph Fiennes (Clavius), Tom Felton (Lucius), Peter Firth (Pilate), Cliff Curtis (Yeshua)"
Thalaivi,Thalaivi (2021),tt10152736,5.9,2021,2h 33m,https://www.boxofficemojo.com/title/tt10152736/,"$791,744",–,"$791,744",A.L. Vijay,"Kangana Ranaut (J. Jayalalithaa), Arvind Swamy (M.J. Ramachandran), Nassar (Karunanidhi), Samuthirakani (R.N. Veerappan (Tamil & Telugu Version))"
Mosul,Mosul (2019),tt9252468,7.1,2019,1h 41m,https://www.boxofficemojo.com/title/tt9252468/,–,–,–,Matthew Michael Carnahan,"Waleed Elgadi (Colonel Kaveh Isfahani), Suhail Dabbach (Jasem), Adam Bessa (Kawa), Is'haq Elias (Waleed)"
Luck,Luck (2022),tt7214954,6.4,2022,1h 45m,https://www.boxofficemojo.com/title/tt7214954/,–,–,–,Peggy Holmes,"Eva Noblezada (Sam), Simon Pegg (Bob), Jane Fonda (Dragon), Whoopi Goldberg (Captain)"
Pulse,Pulse (2006),tt0454919,4.7,2006,1h 30m,https://www.boxofficemojo.com/title/tt0454919/,"$29,907,685","$20,264,436","$9,643,249",Jim Sonzero,"Kristen Bell (Mattie), Rick Gonzalez (Stone), Christina Milian (Isabelle Fuentes), Ian Somerhalder (Dexter)"
Cell,Cell (2016),tt0775440,4.4,2016,1h 38m,https://www.boxofficemojo.com/title/tt0775440/,"$1,323,012",–,"$1,323,012",Tod Williams,"John Cusack (Clay Riddell), Samuel L. Jackson (Tom McCourt), Isabelle Fuhrman (Alice Waxman), Clark Sarullo (Sharon Riddell)"
Kaththi,Kaththi (2014),tt3801314,8.1,2014,2h 46m,https://www.boxofficemojo.com/title/tt3801314/,"$674,359",–,"$674,359",A.R. Murugadoss,"Joseph Vijay (Kathiresan/Jeevanantham), Samantha Ruth Prabhu (Ankitha), Neil Nitin Mukesh (Cedric Peter Von), Tota Roy Chowdhury (Vivek Banerjee)"
I Know Who Killed Me,I Know Who Killed Me (2007),tt0897361,3.6,2007,1h 45m,https://www.boxofficemojo.com/title/tt0897361/,"$9,669,758","$7,498,716","$2,171,042",Chris Sivertson,"Lindsay Lohan (Aubrey Fleming/Dakota Moss), Julia Ormond (Susan Fleming), Neal McDonough (Daniel Fleming), Bonnie Aarons (Fat Teena)"
Another Year,Another Year (2010),tt1431181,7.4,2010,2h 9m,https://www.boxofficemojo.com/title/tt1431181/,"$19,722,766","$3,205,706","$16,517,060",Mike Leigh,"Jim Broadbent (Tom), Ruth Sheen (Gerri), Lesley Manville (Mary), Oliver Maltman (Joe)"
Highway,Highway (2014),tt2980794,7.6,2014,2h 13m,https://www.boxofficemojo.com/title/tt2980794/,"$858,783","$529,136","$329,647",Imtiaz Ali,"Alia Bhatt (Veera Tripathi), Randeep Hooda (Mahabir Bhati), Durgesh Kumar (Aadoo), Pradeep Nagar (Tonk)"
Ruby & Quentin,Ruby & Quentin (2003),tt0310203,7.1,2003,1h 25m,https://www.boxofficemojo.com/title/tt0310203/,"$27,729,359","$312,824","$27,416,535",Francis Veber,"Gérard Depardieu (Quentin), Jean Reno (Ruby), Richard Berry (Vernet), André Dussollier (Le psychiatre prison)"
Enthiran,Enthiran (2010),tt1305797,7.1,2010,2h 54m,https://www.boxofficemojo.com/title/tt1305797/,"$3,889,511",–,"$3,889,511",S. Shankar,"Rajinikanth (Dr. Vaseegaran/Chitti), Aishwarya Rai Bachchan (Sana), Danny Denzongpa (Dr. Bohra), Santhanam (Siva)"
The Contractor,The Contractor (2022),tt10323676,5.8,2022,1h 43m,https://www.boxofficemojo.com/title/tt10323676/,"$2,122,288","$1,035,265","$1,087,023",Tarik Saleh,"Chris Pine (James), Gillian Jacobs (Brianne), Sander Thomas (Jack), Toby Dixon (Young James)"
Secretariat,Secretariat (2010),tt1028576,7.2,2010,2h 3m,https://www.boxofficemojo.com/title/tt1028576/,"$60,321,861","$59,713,955","$607,906",Randall Wallace,"Diane Lane (Penny Chenery), John Malkovich (Lucien Laurin), Margo Martindale (Miss Ham), Nelsan Ellis (Eddie Sweat)"
The Greatest Beer Run Ever,The Greatest Beer Run Ever (2022),tt10268488,6.8,2022,2h 6m,https://www.boxofficemojo.com/title/tt10268488/,–,–,–,Peter Farrelly,"Zac Efron (Chickie Donohue), Russell Crowe (Arthur Coates), Jake Picking (Rick Duggan), Kyle Allen (Bobby Pappas)"
Ken Park,Ken Park (2002),tt0209077,5.8,2002,1h 33m,https://www.boxofficemojo.com/title/tt0209077/,"$1,058,905",–,"$1,058,905",Larry Clark,"Adam Chubbuck (Ken Park), James Bullard (Shawn), Seth Gray (Shawn's Brother), Eddie Daniels (Shawn's Mother)"
A Lonely Place to Die,A Lonely Place to Die (2011),tt1422136,6.2,2011,1h 39m,https://www.boxofficemojo.com/title/tt1422136/,"$442,550",–,"$442,550",Julian Gilbey,"Alec Newman (Rob), Ed Speleers (Ed), Melissa George (Alison), Kate Magowan (Jenny)"
Hours,Hours (2013),tt2094018,6.3,2013,1h 37m,https://www.boxofficemojo.com/title/tt2094018/,"$801,983",–,"$801,983",Eric Heisserer,"Paul Walker (Nolan Hayes), Genesis Rodriguez (Abigail Hayes), Nancy Nave (Sandra), Shane Jacobsen (Marc)"
The Lego Ninjago Movie,The Lego Ninjago Movie (2017),tt3014284,6.0,2017,1h 41m,https://www.boxofficemojo.com/title/tt3014284/,"$123,764,177","$59,364,177","$64,400,000",Charlie Bean,"Jackie Chan (Master Wu/Mr. Liu), Dave Franco (Lloyd), Fred Armisen (Cole), Kumail Nanjiani (Jay)"
The Sisterhood of the Traveling Pants 2,The Sisterhood of the Traveling Pants 2 (2008),tt1018785,6.2,2008,1h 59m,https://www.boxofficemojo.com/title/tt1018785/,"$44,352,417","$44,089,964","$262,453",Sanaa Hamri,"America Ferrera (Carmen Lowell), Alexis Bledel (Lena Kaligaris), Amber Tamblyn (Tibby Tomko-Rollins), Blake Lively (Bridget Vreeland)"
Fatman,Fatman (2020),tt10310140,5.9,2020,1h 40m,https://www.boxofficemojo.com/title/tt10310140/,"$1,651,413","$278,378","$1,373,035",Eshom Nelms,"Mel Gibson (Chris), Walton Goggins (Skinny Man), Marianne Jean-Baptiste (Ruth), Chance Hurstfield (Billy Wenan)"
Vacation Friends,Vacation Friends (2021),tt3626476,6.3,2021,1h 43m,https://www.boxofficemojo.com/title/tt3626476/,–,–,–,Clay Tarver,"Lil Rel Howery (Marcus), Yvonne Orji (Emily), John Cena (Ron), Meredith Hagner (Kyla)"
School for Scoundrels,School for Scoundrels (2006),tt0462519,5.9,2006,1h 40m,https://www.boxofficemojo.com/title/tt0462519/,"$24,470,583","$17,807,569","$6,663,014",Todd Phillips,"Billy Bob Thornton (Dr. P), Jon Heder (Roger), Jacinda Barrett (Amanda), Michael Clarke Duncan (Lesher)"
Diary of a Wimpy Kid: Dog Days,Diary of a Wimpy Kid: Dog Days (2012),tt2023453,6.3,2012,1h 34m,https://www.boxofficemojo.com/title/tt2023453/,"$77,229,695","$49,008,662","$28,221,033",David Bowers,"Zachary Gordon (Greg Heffley), Robert Capron (Rowley Jefferson), Devon Bostick (Rodrick Heffley), Steve Zahn (Frank Heffley)"
Second Act,Second Act (2018),tt2126357,5.8,2018,1h 43m,https://www.boxofficemojo.com/title/tt2126357/,"$72,294,844","$39,282,227","$33,011,839",Peter Segal,"Jennifer Lopez (Maya), Vanessa Hudgens (Zoe), Leah Remini (Joan), Treat Williams (Anderson Clarke)"
The Oxford Murders,The Oxford Murders (2008),tt0488604,6.1,2008,1h 48m,https://www.boxofficemojo.com/title/tt0488604/,"$17,646,627","$4,803","$17,641,824",Álex de la Iglesia,"Elijah Wood (Martin), John Hurt (Arthur Seldom), Leonor Watling (Lorna), Jim Carter (Inspector Petersen)"
Testament of Youth,Testament of Youth (2014),tt1441953,7.2,2014,2h 9m,https://www.boxofficemojo.com/title/tt1441953/,"$5,851,758","$1,822,250","$4,029,508",James Kent,"Alicia Vikander (Vera Brittain), Kit Harington (Roland Leighton), Taron Egerton (Edward Brittain), Dominic West (Mr. Brittain)"
Stick It,Stick It (2006),tt0430634,6.4,2006,1h 43m,https://www.boxofficemojo.com/title/tt0430634/,"$31,976,848","$26,910,736","$5,066,112",Jessica Bendinger,"Missy Peregrym (Haley Graham), Jeff Bridges (Burt Vickerman), Vanessa Lengies (Joanne Charis), Nikki SooHoo (Wei Wei Yong)"
12 Rounds,12 Rounds (2009),tt1160368,5.6,2009,1h 48m,https://www.boxofficemojo.com/title/tt1160368/,"$17,280,326","$12,234,694","$5,045,632",Renny Harlin,"John Cena (Danny Fisher), Ashley Scott (Molly Porter), Aidan Gillen (Miles Jackson), Steve Harris (George Aiken)"
