Title,Title,ID,Rating,Release Year,Duration,BoxOfficeMojo_Link,Worldwide Gross,Domestic Gross,International Gross,Director,Cast and Crew
The Hunger Games,The Hunger Games (2012),tt1392170,7.2,2012,2h 22m,https://www.boxofficemojo.com/title/tt1392170/,"$695,220,619","$408,010,692","$287,209,927",Gary Ross,"Jennifer Lawrence (Katniss Everdeen), Josh Hutcherson (Peeta Mellark), Liam Hemsworth (Gale Hawthorne), Stanley Tucci (Caesar Flickerman)"
Parasite,Parasite (2019),tt6751668,8.5,2019,2h 12m,https://www.boxofficemojo.com/title/tt6751668/,"$262,129,969","$53,369,749","$208,749,363",Bong Joon Ho,"Song Kang-ho (Ki Taek), Lee Sun-kyun (Dong Ik), Cho Yeo-jeong (Yeon Kyo), Choi Woo-sik (Ki Woo)"
"Monsters, Inc.","Monsters, Inc. (2001)",tt0198781,8.1,2001,1h 32m,https://www.boxofficemojo.com/title/tt0198781/,"$579,770,299","$290,642,256","$289,112,013",Pete Docter,"Billy Crystal (Mike), John Goodman (Sullivan), Mary Gibbs (Boo), Steve Buscemi (Randall)"
A Beautiful Mind,A Beautiful Mind (2001),tt0268978,8.2,2001,2h 15m,https://www.boxofficemojo.com/title/tt0268978/,"$316,791,257","$170,742,341","$146,048,916",John Nash,"Russell Crowe (John Nash), Ed Harris (Parcher), Jennifer Connelly (Alicia Nash), Christopher Plummer (Dr. Rosen)"
Star Wars: Episode VII - The Force Awakens,Star Wars: Episode VII - The Force Awakens (2015),tt2488496,7.8,2015,2h 18m,https://www.boxofficemojo.com/title/tt2488496/,"$2,071,310,218","$936,662,225","$1,134,647,993",J.J. Abrams,"Daisy Ridley (Rey), John Boyega (Finn), Oscar Isaac (Poe Dameron), Domhnall Gleeson (General Hux)"
Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 2 (2011),tt1201607,8.1,2011,2h 10m,https://www.boxofficemojo.com/title/tt1201607/,"$1,342,499,744","$381,447,587","$960,932,102",David Yates,"Daniel Radcliffe (Harry Potter), Emma Watson (Hermione Granger), Rupert Grint (Ron Weasley), Michael Gambon (Professor Albus Dumbledore)"
The Intouchables,The Intouchables (2011),tt1675434,8.5,2011,1h 52m,https://www.boxofficemojo.com/title/tt1675434/,"$426,590,315","$10,198,820","$416,389,690",Olivier Nakache,"François Cluzet (Philippe), Omar Sy (Driss), Anne Le Ny (Yvonne), Audrey Fleurot (Magalie)"
The Martian,The Martian (2015),tt3659388,8.0,2015,2h 24m,https://www.boxofficemojo.com/title/tt3659388/,"$630,621,406","$228,433,663","$402,187,155",Ridley Scott,"Matt Damon (Mark Watney), Jessica Chastain (Melissa Lewis), Kristen Wiig (Annie Montrose), Kate Mara (Beth Johanssen)"
The Pianist,The Pianist (2002),tt0253474,8.5,2002,2h 30m,https://www.boxofficemojo.com/title/tt0253474/,"$120,098,945","$32,590,750","$87,500,000",Roman Polanski,"Adrien Brody (Wladyslaw Szpilman), Thomas Kretschmann (Captain Wilm Hosenfeld), Frank Finlay (Father), Emilia Fox (Dorota)"
Avengers: Age of Ultron,Avengers: Age of Ultron (2015),tt2395427,7.3,2015,2h 21m,https://www.boxofficemojo.com/title/tt2395427/,"$1,405,018,048","$459,005,868","$946,012,180",Joss Whedon,"Robert Downey Jr. (Tony Stark/Iron Man), Chris Evans (Steve Rogers/Captain America), Mark Ruffalo (Bruce Banner/Hulk), Chris Hemsworth (Thor)"
Spider-Man: No Way Home,Spider-Man: No Way Home (2021),tt10872600,8.2,2021,2h 28m,https://www.boxofficemojo.com/title/tt10872600/,"$1,952,723,719","$814,866,759","$1,137,831,590",Jon Watts,"Tom Holland (Peter Parker/Spider-Man), Zendaya (MJ), Benedict Cumberbatch (Doctor Strange), Jacob Batalon (Ned Leeds)"
Dune: Part One,Dune: Part One (2021),tt1160419,8.0,2021,2h 35m,https://www.boxofficemojo.com/title/tt1160419/,"$407,673,628","$108,897,830","$298,775,798",Denis Villeneuve,"Timothée Chalamet (Paul Atreides), Rebecca Ferguson (Lady Jessica Atreides), Zendaya (Chani), Oscar Isaac (Duke Leto Atreides)"
Thor,Thor (2011),tt0800369,7.0,2011,1h 55m,https://www.boxofficemojo.com/title/tt0800369/,"$449,326,618","$181,030,624","$268,295,994",Kenneth Branagh,"Chris Hemsworth (Thor), Anthony Hopkins (Odin), Natalie Portman (Jane Foster), Tom Hiddleston (Loki)"
Captain America: The Winter Soldier,Captain America: The Winter Soldier (2014),tt1843866,7.7,2014,2h 16m,https://www.boxofficemojo.com/title/tt1843866/,"$714,421,503","$259,766,572","$454,654,931",Anthony Russo,"Chris Evans (Steve Rogers/Captain America), Samuel L. Jackson (Nick Fury), Scarlett Johansson (Natasha Romanoff/Black Widow), Robert Redford (Alexander Pierce)"
