Title,ID,Rating,Release Year,Duration
150. Harry Potter and the Order of the Phoenix,tt0373889,7.5,PG-13,2h 18m
151. Superbad,tt0829482,7.6,2010,1h 53m
152. Taken,tt0936501,7.7,1h 43m,1h 30m
153. Argo,tt1024648,7.7,G,2h
154. The Matrix Reloaded,tt0234215,7.2,2014,2h 18m
155. The Notebook,tt0332280,7.8,1h 39m,2h 3m
156. Zombieland,tt1156398,7.5,R,1h 28m
157. Ocean's Eleven,tt0240772,7.7,2002,1h 56m
158. Baby Driver,tt3890160,7.5,2h 1m,1h 53m
159. It,tt1396484,7.3,PG-13,2h 15m
160. Coco,tt2380307,8.4,2015,1h 45m
161. Captain Marvel,tt4154664,6.8,2h 36m,2h 3m
162. Star Trek,tt0796366,7.9,R,2h 7m
163. Don't Look Up,tt11286314,7.2,2012,2h 18m
164. Nightcrawler,tt2872718,7.8,2h 49m,1h 57m
165. Limitless,tt1219289,7.4,PG-13,1h 45m
166. Zodiac,tt0443706,7.7,2010,2h 37m
167. Hacksaw Ridge,tt2119532,8.1,2h 4m,2h 19m
168. Harry Potter and the Deathly Hallows: Part 1,tt0926084,7.7,PG-13,2h 26m
169. A Quiet Place,tt6644200,7.5,2008,1h 30m
170. Tenet,tt6723592,7.3,2h,2h 30m
171. Harry Potter and the Half-Blood Prince,tt0417741,7.6,R,2h 33m
172. 21 Jump Street,tt1232829,7.2,2001,1h 49m
173. Looper,tt1276104,7.4,2h 4m,1h 59m
174. The Great Gatsby,tt1343092,7.2,PG,2h 23m
175. Bohemian Rhapsody,tt1727824,7.9,2001,2h 14m
176. Shaun of the Dead,tt0365748,7.9,2h 32m,1h 39m
177. Green Book,tt6966692,8.2,PG,2h 10m
178. Ex Machina,tt0470752,7.7,2019,1h 48m
179. Kick-Ass,tt1250777,7.6,2h 41m,1h 57m
180. Despicable Me,tt1323594,7.6,R,1h 35m
181. Blood Diamond,tt0450259,8.0,2006,2h 23m
182. Minority Report,tt0181689,7.6,1h 57m,2h 25m
183. Watchmen,tt0409459,7.6,R,2h 42m
184. X2: X-Men United,tt0290334,7.4,2013,2h 14m
"185. I, Robot",tt0343818,7.1,1h 31m,1h 55m
186. The Hobbit: The Battle of the Five Armies,tt2310332,7.4,PG-13,2h 24m
187. The Bourne Identity,tt0258463,7.8,2016,1h 59m
188. Rise of the Planet of the Apes,tt1318514,7.6,2h 27m,1h 45m
189. Troy,tt0332452,7.3,PG-13,2h 43m
"190. Crazy, Stupid, Love.",tt1570728,7.4,2017,1h 58m
191. Spider-Man: Far from Home,tt6320628,7.4,2h 17m,2h 9m
192. Barbie,tt1517268,6.8,R,1h 54m
193. The Pursuit of Happyness,tt0454921,8.0,2009,1h 57m
194. 500 Days of Summer,tt1022603,7.7,1h 40m,1h 35m
195. Split,tt4972582,7.3,R,1h 57m
196. Pirates of the Caribbean: On Stranger Tides,tt1298650,6.6,2001,2h 16m
197. The Kashmir Files,tt10811166,8.5,1h 53m,2h 50m
198. The Conjuring,tt1457767,7.5,R,1h 52m
"199. Three Billboards Outside Ebbing, Missouri",tt5027774,8.1,2005,1h 55m
200. Zootopia,tt2948356,8.0,2h 20m,1h 48m
201. Fury,tt2713180,7.6,PG-13,2h 14m
202. Venom,tt1270797,6.6,2007,1h 52m
203. Oblivion,tt1483013,7.0,1h 51m,2h 4m
204. Everything Everywhere All at Once,tt6710474,7.8,G,2h 19m
205. The Perks of Being a Wallflower,tt1659337,7.9,2018,1h 43m
206. Source Code,tt0945513,7.5,2h 14m,1h 33m
207. Juno,tt0467406,7.4,PG-13,1h 36m
208. Mr. & Mrs. Smith,tt0356910,6.5,2022,2h
209. The Matrix Revolutions,tt0242653,6.7,2h 56m,2h 9m
210. X-Men: The Last Stand,tt0376994,6.6,PG-13,1h 44m
211. The Amazing Spider-Man 2,tt1872181,6.6,2013,2h 22m
212. X-Men Origins: Wolverine,tt0458525,6.5,2h 33m,1h 47m
213. Lucy,tt2872732,6.4,R,1h 29m
214. The Hangover Part II,tt1411697,6.5,2010,1h 42m
215. Hot Fuzz,tt0425112,7.8,1h 48m,2h 1m
216. Love Actually,tt0314331,7.6,R,2h 15m
217. Charlie and the Chocolate Factory,tt0367594,6.7,2015,1h 55m
218. American Sniper,tt2179136,7.3,1h 35m,2h 13m
219. Children of Men,tt0206634,7.9,PG,1h 49m
220. Pacific Rim,tt1663662,6.9,2014,2h 11m
221. Kung Fu Panda,tt0441773,7.6,1h 54m,1h 32m
222. Mission: Impossible - Ghost Protocol,tt1229238,7.4,PG-13,2h 12m
223. The Incredible Hulk,tt0800080,6.6,2017,1h 52m
224. Ice Age,tt0268380,7.5,2h 10m,1h 21m
225. The Butterfly Effect,tt0289879,7.6,PG-13,1h 53m
226. Aquaman,tt1477834,6.8,2007,2h 23m
227. Little Miss Sunshine,tt0449059,7.8,1h 41m,1h 41m
228. John Wick: Chapter 2,tt4425200,7.4,PG-13,2h 2m
229. Dallas Buyers Club,tt0790636,7.9,2004,1h 57m
230. Rush,tt1979320,8.1,1h 55m,2h 3m
231. The Maze Runner,tt1790864,6.8,PG,1h 53m
232. Hancock,tt0448157,6.4,2008,1h 32m
233. Shrek 2,tt0298148,7.4,1h 56m,1h 33m
234. Avatar: The Way of Water,tt1630029,7.5,R,3h 12m
235. Big Hero 6,tt2245084,7.8,2016,1h 42m
236. Fantastic Beasts and Where to Find Them,tt3183660,7.2,1h 55m,2h 12m
237. The Hunger Games: Mockingjay - Part 1,tt1951265,6.6,PG-13,2h 3m
238. Spotlight,tt1895587,8.1,2023,2h 9m
239. Tangled,tt0398286,7.7,3h,1h 40m
240. Star Wars: Episode IX - The Rise of Skywalker,tt2527338,6.4,R,2h 21m
241. Warrior,tt1291584,8.1,2010,2h 20m
242. The Terminal,tt0362227,7.4,1h 38m,2h 8m
243. The Girl with the Dragon Tattoo,tt1568346,7.8,PG,2h 38m
244. The Wolverine,tt1430132,6.7,2004,2h 6m
245. American Hustle,tt1800241,7.2,2h 17m,2h 18m
246. Ford v Ferrari,tt1950186,8.1,R,2h 32m
247. The Help,tt1454029,8.1,2013,2h 26m
248. Ready Player One,tt1677720,7.4,2h 23m,2h 20m
249. Lost in Translation,tt0335266,7.7,PG-13,1h 42m
250. Captain Phillips,tt1535109,7.8,2002,2h 14m
251. Star Trek Into Darkness,tt1408101,7.7,2h 10m,2h 12m
252. Doctor Strange in the Multiverse of Madness,tt9419884,6.9,R,2h 6m
253. The Big Short,tt1596363,7.8,2001,2h 10m
254. Divergent,tt1840309,6.6,2h 2m,2h 19m
255. We're the Millers,tt1723121,7.0,R,1h 50m
256. Indiana Jones and the Kingdom of the Crystal Skull,tt0367882,6.2,2005,2h 2m
257. Twilight,tt1099212,5.3,2h 4m,2h 2m
258. Mystic River,tt0327056,7.9,R,2h 18m
259. The Bourne Supremacy,tt0372183,7.7,2019,1h 48m
260. Dawn of the Planet of the Apes,tt2103281,7.6,2h 10m,2h 10m
261. Sicario,tt3397884,7.7,PG-13,2h 1m
262. The Theory of Everything,tt2980516,7.7,2016,2h 3m
263. The Day After Tomorrow,tt0319262,6.5,1h 56m,2h 4m
264. Cars,tt0317219,7.3,PG-13,1h 56m
265. Sherlock Holmes: A Game of Shadows,tt1515091,7.4,2006,2h 9m
266. The Devil Wears Prada,tt0458352,6.9,2h 31m,1h 49m
267. Training Day,tt0139654,7.8,PG-13,2h 2m
268. Justice League,tt0974015,6.0,2017,2h
269. War of the Worlds,tt0407304,6.5,2h 16m,1h 57m
270. Gangs of New York,tt0217505,7.5,PG-13,2h 47m
271. Saw,tt0387564,7.6,2010,1h 43m
272. The Last Samurai,tt0325710,7.8,2h,2h 34m
273. The Hurt Locker,tt0887912,7.5,PG-13,2h 11m
274. Quantum of Solace,tt0830515,6.5,2002,1h 46m
275. The 40-Year-Old Virgin,tt0405422,7.1,2h 22m,1h 56m
276. Elysium,tt1535108,6.6,PG,1h 49m
277. Moneyball,tt1210166,7.6,2016,2h 13m
278. Horrible Bosses,tt1499658,6.9,2h 31m,1h 38m
279. Scott Pilgrim vs. the World,tt0446029,7.6,R,1h 52m
280. Spectre,tt2379713,6.8,2014,2h 28m
281. X-Men: Apocalypse,tt3385516,6.8,1h 41m,2h 24m
282. In Bruges,tt0780536,7.9,R,1h 47m
283. Wreck-It Ralph,tt1772341,7.7,2014,1h 41m
284. Bullet Train,tt12593682,7.3,2h 12m,2h 7m
285. Howl's Moving Castle,tt0347149,8.2,PG-13,1h 59m
286. The Da Vinci Code,tt0382625,6.6,2017,2h 29m
287. Jumanji: Welcome to the Jungle,tt2283362,7.0,1h 46m,1h 59m
288. Big Fish,tt0319061,8.0,PG-13,2h 5m
289. American Gangster,tt0765429,7.8,2014,2h 37m
290. Passengers,tt1355644,7.0,1h 53m,1h 56m
291. The Cabin in the Woods,tt1259521,7.0,PG-13,1h 35m
292. Ant-Man and the Wasp,tt5095030,7.0,2001,1h 58m
293. Glass Onion,tt11564570,7.1,1h 30m,2h 19m
294. Room,tt3170832,8.1,PG,1h 58m
295. 28 Days Later,tt0289043,7.5,2013,1h 53m
296. Tropic Thunder,tt0942385,7.1,2h 14m,1h 47m
297. In Time,tt1637688,6.7,R,1h 49m
298. No Time to Die,tt2382320,7.3,2012,2h 43m
299. Midnight in Paris,tt1605783,7.6,2h 2m,1h 34m
300. Jojo Rabbit,tt2584384,7.9,R,1h 48m
301. The Shape of Water,tt5580390,7.3,2022,2h 3m
302. King Kong,tt0360717,7.2,2h 10m,3h 7m
303. Brave,tt1217209,7.1,PG-13,1h 33m
304. Borat,tt0443453,7.4,2012,1h 24m
305. Crash,tt0375679,7.7,2h 23m,1h 52m
306. Mean Girls,tt0377092,7.1,PG-13,1h 37m
307. Shang-Chi and the Legend of the Ten Rings,tt9376612,7.4,2017,2h 12m
308. Madagascar,tt0351283,6.9,2h 13m,1h 26m
309. Godzilla,tt0831387,6.4,PG-13,2h 3m
310. Alice in Wonderland,tt1014759,6.4,2013,1h 48m
311. Zack Snyder's Justice League,tt12361974,7.9,1h 56m,4h 2m
312. Free Guy,tt6264654,7.1,PG-13,1h 55m
313. 3 Idiots,tt1187043,8.4,2013,2h 50m
314. Bruce Almighty,tt0315327,6.8,1h 52m,1h 41m
315. The Irishman,tt1302006,7.8,PG-13,3h 29m
316. Collateral,tt0369339,7.5,2017,2h
317. John Wick: Chapter 3 - Parabellum,tt6146586,7.4,1h 44m,2h 10m
318. Black Widow,tt3480822,6.6,R,2h 14m
319. This Is the End,tt1245492,6.6,2011,1h 47m
320. Transformers: Dark of the Moon,tt1399103,6.2,2h 11m,2h 34m
"321. The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",tt0363771,6.9,PG-13,2h 23m
322. Despicable Me 2,tt1690953,7.3,2015,1h 38m
323. Transformers: Revenge of the Fallen,tt1055369,6.0,1h 57m,2h 29m
324. The Equalizer,tt0455944,7.2,PG-13,2h 12m
325. Black Hawk Down,tt0265086,7.7,2014,2h 24m
326. Midsommar,tt8772262,7.1,2h 9m,2h 28m
327. The Fast and the Furious,tt0232500,6.8,R,1h 46m
328. A Star Is Born,tt1517451,7.6,2013,2h 16m
329. Cloverfield,tt1060277,7.0,2h 26m,1h 25m
330. The Menu,tt9764362,7.2,PG-13,1h 47m
331. Easy A,tt1282140,7.0,2004,1h 32m
332. Live Free or Die Hard,tt0337978,7.1,2h 12m,2h 8m
333. The Town,tt0840361,7.5,PG-13,2h 5m
334. Terminator 3: Rise of the Machines,tt0181852,6.3,2016,1h 49m
